description,inputGenes_unique,preferredNames_unique
APP-related cerebral amyloid angiopathy,"9606.ENSP00000252486, 9606.ENSP00000284981, 9606.ENSP00000381448, 9606.ENSP00000450540","APOE, APP, CST3, SERPINA3"
Abdominal aortic aneurysm,"9606.ENSP00000252486, 9606.ENSP00000361405","APOE, MMP9"
Adenosquamous carcinoma,"9606.ENSP00000252242, 9606.ENSP00000275493, 9606.ENSP00000312631","EGFR, INSM1, KRT5"
Alopecia areata,"9606.ENSP00000215754, 9606.ENSP00000228606, 9606.ENSP00000231449, 9606.ENSP00000259206, 9606.ENSP00000263341, 9606.ENSP00000339398, 9606.ENSP00000353099, 9606.ENSP00000364114, 9606.ENSP00000364163, 9606.ENSP00000365402, 9606.ENSP00000378786, 9606.ENSP00000398890, 9606.ENSP00000403495","CYP27B1, HLA-C, HLA-DMB, HLA-DQA1, HLA-DRA, HLA-DRB1, HLA-DRB5, IL1B, IL1RN, IL4, LTA, MIF, NOTCH4"
Alzheimers disease,"9606.ENSP00000252486, 9606.ENSP00000260408, 9606.ENSP00000284981, 9606.ENSP00000315130, 9606.ENSP00000323929, 9606.ENSP00000340820, 9606.ENSP00000345672, 9606.ENSP00000356607, 9606.ENSP00000381448, 9606.ENSP00000414303, 9606.ENSP00000450540, 9606.ENSP00000500990","A2M, ADAM10, APOE, APP, BDNF, CLU, CST3, CTSB, MAPT, RALGPS2, SERPINA3, SNCA"
Amyloidosis,"9606.ENSP00000167586, 9606.ENSP00000219596, 9606.ENSP00000227667, 9606.ENSP00000245907, 9606.ENSP00000249356, 9606.ENSP00000252242, 9606.ENSP00000252486, 9606.ENSP00000260408, 9606.ENSP00000261267, 9606.ENSP00000263408, 9606.ENSP00000274276, 9606.ENSP00000284981, 9606.ENSP00000315130, 9606.ENSP00000323929, 9606.ENSP00000339063, 9606.ENSP00000346839, 9606.ENSP00000350425, 9606.ENSP00000362924, 9606.ENSP00000371420, 9606.ENSP00000381448, 9606.ENSP00000416066, 9606.ENSP00000416330, 9606.ENSP00000450540, 9606.ENSP00000458162, 9606.ENSP00000494175, 9606.ENSP00000494750, 9606.ENSP00000497910, 9606.ENSP00000498441","A2M, ACTB, ACTG1, ADAM10, APOA4, APOC3, APOE, APP, B2M, C3, C9, CLU, CST3, DNAJB9, EEF1A1, FGA, FN1, GPNMB, GSN, HBB, KRT14, KRT5, LYZ, MEFV, OSMR, SERPINA1, SERPINA3, TGFBI"
Anemia,"9606.ENSP00000229270, 9606.ENSP00000251595, 9606.ENSP00000259469, 9606.ENSP00000264690, 9606.ENSP00000265709, 9606.ENSP00000272317, 9606.ENSP00000280772, 9606.ENSP00000294413, 9606.ENSP00000299155, 9606.ENSP00000309334, 9606.ENSP00000318646, 9606.ENSP00000319141, 9606.ENSP00000322421, 9606.ENSP00000339787, 9606.ENSP00000345259, 9606.ENSP00000348849, 9606.ENSP00000349588, 9606.ENSP00000349629, 9606.ENSP00000354468, 9606.ENSP00000359345, 9606.ENSP00000362413, 9606.ENSP00000362563, 9606.ENSP00000371067, 9606.ENSP00000371638, 9606.ENSP00000376840, 9606.ENSP00000377192, 9606.ENSP00000379339, 9606.ENSP00000386717, 9606.ENSP00000414321, 9606.ENSP00000416293, 9606.ENSP00000447001, 9606.ENSP00000463784, 9606.ENSP00000464342, 9606.ENSP00000464813, 9606.ENSP00000466010, 9606.ENSP00000470972, 9606.ENSP00000472469, 9606.ENSP00000476480, 9606.ENSP00000481646, 9606.ENSP00000494175, 9606.ENSP00000494697, 9606.ENSP00000495273, 9606.ENSP00000495672, 9606.ENSP00000496166, 9606.ENSP00000496168, 9606.ENSP00000496250, 9606.ENSP00000497574, 9606.ENSP00000498019, 9606.ENSP00000499044","ACSL4, ALDOA, AMN, ANK1, ANK2, ANK3, BCL11A, BPGM, CYB5R3, CYBRD1, EPB41, G6PD, GCLC, HBA1, HBA2, HBB, JAK2, KLKB1, LRBA, NT5C3A, PGK1, RHCE, RPL11, RPL15, RPL18, RPL26, RPL27, RPL31, RPL35, RPL35A, RPL36, RPL5, RPL9, RPS10, RPS15, RPS15A, RPS17, RPS19, RPS24, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS7, SLC2A1, SMARCA2, TPI1, ZBTB43"
Aplastic anemia,"9606.ENSP00000259469, 9606.ENSP00000272317, 9606.ENSP00000309334, 9606.ENSP00000318646, 9606.ENSP00000348849, 9606.ENSP00000359345, 9606.ENSP00000362563, 9606.ENSP00000371067, 9606.ENSP00000379339, 9606.ENSP00000386717, 9606.ENSP00000414321, 9606.ENSP00000464342, 9606.ENSP00000464813, 9606.ENSP00000466010, 9606.ENSP00000470972, 9606.ENSP00000472469, 9606.ENSP00000481646, 9606.ENSP00000494697, 9606.ENSP00000495273, 9606.ENSP00000498019, 9606.ENSP00000499044","JAK2, RPL15, RPL27, RPL31, RPL35, RPL36, RPL5, RPL9, RPS10, RPS15, RPS15A, RPS17, RPS19, RPS24, RPS26, RPS27, RPS27A, RPS28, RPS29, RPS7, ZBTB43"
Artery disease,"9606.ENSP00000221930, 9606.ENSP00000233242, 9606.ENSP00000252486, 9606.ENSP00000259371, 9606.ENSP00000263341, 9606.ENSP00000303208, 9606.ENSP00000304408, 9606.ENSP00000308541, 9606.ENSP00000325527, 9606.ENSP00000331736, 9606.ENSP00000338785, 9606.ENSP00000347046, 9606.ENSP00000351807, 9606.ENSP00000353452, 9606.ENSP00000353654, 9606.ENSP00000361405, 9606.ENSP00000363973, 9606.ENSP00000379140, 9606.ENSP00000392043, 9606.ENSP00000399168, 9606.ENSP00000424571","ALPL, APOB, APOE, ATP2B1, COL3A1, COL4A2, CXCL12, DAB2IP, ELN, F2, FBN1, FBN2, HLA-B, IL1B, MMP9, MYLK, PCSK9, PDE5A, SELE, STARD13, TGFB1"
Arthritis,"9606.ENSP00000215754, 9606.ENSP00000221930, 9606.ENSP00000263341, 9606.ENSP00000481570","IL1B, MIF, TGFB1, TNFAIP3"
