term,description
EFO:0000246,Age
EFO:0000313,Carcinoma
EFO:0000319,Cardiovascular disease
EFO:0000405,Digestive system disease
EFO:0000408,Disease
EFO:0000508,Genetic disorder
EFO:0000616,Neoplasm
EFO:0000618,Nervous system disease
EFO:0000677,Mental or behavioural disorder
EFO:0000719,Temporal measurement
EFO:0000720,Test result
EFO:0001379,Endocrine system disease
EFO:0003765,Sign or symptom
EFO:0003777,Heart disease
EFO:0003843,Pain
EFO:0003892,Pulmonary function measurement
EFO:0003907,Deep vein thrombosis
EFO:0003923,Bone density
EFO:0003925,Cognition
EFO:0003966,Eye disease
EFO:0004264,Vascular disease
EFO:0004269,Cardiac arrhythmia
EFO:0004272,Anemia (phenotype)
EFO:0004298,Cardiovascular measurement
EFO:0004300,Longevity
EFO:0004302,Anthropometric measurement
EFO:0004303,Vital signs
EFO:0004305,Erythrocyte count
EFO:0004306,Erythrocyte indices
EFO:0004308,Leukocyte count
EFO:0004309,Platelet count
EFO:0004310,Partial thromboplastin time
EFO:0004311,Heart function measurement
EFO:0004312,Vital capacity
EFO:0004314,Forced expiratory volume
EFO:0004318,Smoking behavior
EFO:0004324,Body weights and measures
EFO:0004325,Blood pressure
EFO:0004326,Heart rate
EFO:0004327,Electrocardiography
EFO:0004337,Intelligence
EFO:0004338,Body weight
EFO:0004339,Body height
EFO:0004340,Body mass index
EFO:0004342,Waist circumference
EFO:0004343,Waist-hip ratio
EFO:0004344,Birth weight
EFO:0004348,Hematocrit
EFO:0004352,Mortality
EFO:0004461,Iron biomarker measurement
EFO:0004462,PR interval
EFO:0004464,Brain measurement
EFO:0004468,Glucose measurement
EFO:0004503,Hematological measurement
EFO:0004509,Hemoglobin measurement
EFO:0004512,Bone measurement
EFO:0004516,Bone fracture related measurement
EFO:0004526,Mean corpuscular volume
EFO:0004527,Mean corpuscular hemoglobin
EFO:0004528,Mean corpuscular hemoglobin concentration
EFO:0004529,Lipid measurement
EFO:0004530,Triglyceride measurement
EFO:0004531,Urate measurement
EFO:0004532,Serum gamma-glutamyl transferase measurement
EFO:0004535,Serum albumin measurement
EFO:0004555,Glycoprotein measurement
EFO:0004556,Antibody measurement
EFO:0004557,Population measurement
EFO:0004574,Total cholesterol measurement
EFO:0004582,Liver enzyme measurement
EFO:0004584,Mean platelet volume
EFO:0004586,Complete blood cell count
EFO:0004587,Lymphocyte count
EFO:0004611,Low density lipoprotein cholesterol measurement
EFO:0004612,High density lipoprotein cholesterol measurement
EFO:0004614,Apolipoprotein A 1 measurement
EFO:0004615,Apolipoprotein B measurement
EFO:0004622,Sphingolipid measurement
EFO:0004695,Intraocular pressure measurement
EFO:0004696,Sex hormone-binding globulin measurement
EFO:0004703,Age at menarche
EFO:0004713,FEV/FEC ratio
EFO:0004725,Metabolite measurement
EFO:0004730,Hormone measurement
EFO:0004731,Eye measurement
EFO:0004732,Lipoprotein measurement
EFO:0004735,Serum alanine aminotransferase measurement
EFO:0004736,Aspartate aminotransferase measurement
EFO:0004742,Renal system measurement
EFO:0004747,Protein measurement
EFO:0004784,Self reported educational attainment
EFO:0004833,Neutrophil count
EFO:0004842,Eosinophil count
EFO:0004847,Age at onset
EFO:0004870,Sleep measurement
EFO:0004872,Inflammatory biomarker measurement
EFO:0004873,Cytokine measurement
EFO:0005036,Platelet measurement
EFO:0005047,Erythrocyte measurement
EFO:0005052,Nervous system measurement
EFO:0005055,QRS duration
EFO:0005090,Basophil count
EFO:0005091,Monocyte count
EFO:0005093,Hip circumference
EFO:0005105,Lipid or lipoprotein measurement
EFO:0005127,Cancer biomarker measurement
EFO:0005134,Amino acid measurement
EFO:0005192,Red blood cell distribution width
EFO:0005208,Glomerular filtration rate
EFO:0005271,Sleep duration
EFO:0005278,Cardiovascular disease biomarker measurement
EFO:0005413,Joint damage measurement
EFO:0005665,White matter hyperintensity measurement
EFO:0005670,Smoking initiation
EFO:0005763,Pulse pressure measurement
EFO:0005774,Brain disease
EFO:0005815,Tauopathy
EFO:0005852,Heschls gyrus morphology measurement
EFO:0006332,Serum iron measurement
EFO:0006333,Transferrin saturation measurement
EFO:0006335,Systolic blood pressure
EFO:0006336,Diastolic blood pressure
EFO:0006514,Alzheimers disease biomarker measurement
EFO:0006781,Coffee consumption measurement
EFO:0006799,Lewy body dementia measurement
EFO:0006834,Septic shock
EFO:0006841,Respiratory disease biomarker
EFO:0006842,Diabetes mellitus biomarker
EFO:0006843,Infectious disease biomarker
EFO:0006845,Liver disease biomarker
EFO:0006846,Autoimmune disease biomarker
EFO:0006848,Mental or behavioural disorder biomarker
EFO:0006870,Alpha wave measurement
EFO:0006900,Endothelial growth factor measurement
EFO:0006930,Brain volume measurement
EFO:0007010,Drug use measurement
EFO:0007626,Emphysema imaging measurement
EFO:0007788,BMI-adjusted waist-hip ratio
EFO:0007789,BMI-adjusted waist circumference
EFO:0007796,Parental longevity
EFO:0007821,Hair morphology measurement
EFO:0007822,Hair colour measurement
EFO:0007861,Body ratio measurement
EFO:0007874,Gut microbiome measurement
EFO:0007882,Microbiome measurement
EFO:0007908,Traffic air pollution measurement
EFO:0007911,Personality trait measurement
EFO:0007937,Blood protein measurement
EFO:0007978,Red blood cell density measurement
EFO:0007984,Platelet component distribution width
EFO:0007985,Platelet crit
EFO:0007986,Reticulocyte count
EFO:0007987,Granulocyte count
EFO:0007988,Myeloid white cell count
EFO:0007989,Monocyte percentage of leukocytes
EFO:0007990,Neutrophil percentage of leukocytes
EFO:0007993,Lymphocyte percentage of leukocytes
EFO:0008002,Physical activity measurement
EFO:0008007,Age at assessment
EFO:0008039,BMI-adjusted hip circumference
EFO:0008207,Leucine carboxyl methyltransferase 1 measurement
EFO:0008336,Disease progression measurement
EFO:0008341,Snoring measurement
EFO:0008354,Cognitive function measurement
EFO:0008360,Environmental exposure measurement
EFO:0008422,Susceptibility to infectious disease measurement
EFO:0008579,Risk-taking behaviour
EFO:0009268,Family history of Alzheimer’s disease
EFO:0009270,Heel bone mineral density
EFO:0009386,Central nervous system disease
EFO:0009718,Peak expiratory flow
EFO:0009795,Serum urea measurement
EFO:0010059,Cerebral microbleeds
EFO:0010104,Health literacy measurement
EFO:0010285,Integumentary system disease
EFO:0010576,Liver fibrosis measurement
EFO:0010700,Reticulocyte measurement
EFO:0010701,Mean reticulocyte volume
EFO:0010934,Aspartate aminotransferase to alanine aminotransferase ratio
EFO:0011008,Sex hormone measurement
EFO:0011015,Educational attainment
