description,n
Pain,38
Neoplasm,16
Abnormal heart morphology,14
Abnormality of the cardiovascular system,13
Abnormality of the vasculature,13
Abnormality of blood and blood-forming tissues,12
Abnormality of cardiovascular system morphology,12
Abnormality of metabolism/homeostasis,12
Abnormality of the skin,12
Abnormality of immune system physiology,11
Abnormality of the digestive system,11
Abnormality of the immune system,11
Abnormality of the integument,11
Anemia,11
Increased inflammatory response,11
Phenotypic abnormality,11
Protein measurement,11
Abnormal cardiovascular system physiology,10
Abnormal cerebral vascular morphology,10
Abnormal circulating metabolite concentration,10
Blood protein measurement,10
Constitutional symptom,10
Heart function measurement,10
Abnormal erythrocyte morphology,9
Abnormal homeostasis,9
Abnormality of digestive system physiology,9
Abnormality of skin morphology,9
Abnormality of the gastrointestinal tract,9
Abnormality of the musculoskeletal system,9
Abnormality of the nervous system,9
Abnormality of the skeletal system,9
Cirrhosis,9
Functional abnormality of the gastrointestinal tract,9
Generalized abnormality of skin,9
Morphological central nervous system abnormality,9
Abnormal axial skeleton morphology,8
Abnormal circulating protein concentration,8
Abnormal eye physiology,8
Abnormal nervous system morphology,8
Abnormal nervous system physiology,8
Abnormal renal physiology,8
Abnormal respiratory system morphology,8
Abnormal skeletal morphology,8
Abnormal vascular morphology,8
Abnormality of brain morphology,8
Abnormality of the eye,8
Abnormality of the genitourinary system,8
Abnormality of the kidney,8
Abnormality of the liver,8
Abnormality of the musculature,8
Abnormality of the respiratory system,8
Abnormality of the upper urinary tract,8
Abnormality of the urinary system,8
Abnormality of the urinary system physiology,8
Abnormality of urine homeostasis,8
Behavioral abnormality,8
Growth abnormality,8
Abnormal abdomen morphology,7
Abnormal liver morphology,7
Abnormal oral cavity morphology,7
Abnormal renal morphology,7
Abnormal urine metabolite level,7
Abnormality of body weight,7
Abnormality of fluid regulation,7
Abnormality of higher mental function,7
Abnormality of limbs,7
Abnormality of the abdominal organs,7
Abnormality of the lymphatic system,7
Abnormality of the mouth,7
Abnormality of the upper limb,7
Abnormality of the upper respiratory tract,7
Agitation,7
Amyloidosis,7
Anthropometric measurement,7
Body height,7
Body weights and measures,7
Cardiovascular disease biomarker measurement,7
Growth delay,7
Hematological measurement,7
Hemoglobin measurement,7
Hemolytic anemia,7
Hepatomegaly,7
Splenomegaly,7
Stroke,7
Visceromegaly,7
Abnormal bleeding,6
Abnormal blood vessel morphology,6
Abnormal cellular immune system morphology,6
Abnormal central motor function,6
Abnormal cerebral morphology,6
Abnormal eye morphology,6
Abnormal hair morphology,6
Abnormal joint morphology,6
Abnormal large intestine morphology,6
Abnormal leukocyte morphology,6
Abnormal musculoskeletal physiology,6
Abnormal oral mucosa morphology,6
Abnormal platelet count,6
Abnormal skeletal muscle morphology,6
Abnormal spleen morphology,6
Abnormality of skin adnexa morphology,6
Abnormality of the gingiva,6
Abnormality of the ocular adnexa,6
Abnormality of the orbital region,6
Abnormality of the spleen,6
Anemia of inadequate production,6
Cardiovascular disease,6
Cardiovascular measurement,6
Complete blood cell count,6
Decreased body weight,6
Dyspnea,6
Edema,6
Fatigue,6
Hormone measurement,6
Infectious disease biomarker,6
Inflammatory biomarker measurement,6
Leukocyte count,6
Lipid measurement,6
Lipid or lipoprotein measurement,6
Mental or behavioural disorder biomarker,6
Neoplasm by anatomical site,6
Platelet measurement,6
Recurrent infections,6
Reduced consciousness/confusion,6
Reticulocyte count,6
Reticulocyte measurement,6
Thrombocytosis,6
Tissue ischemia,6
Vascular skin abnormality,6
Vital signs,6
Abdominal symptom,5
Abnormal arterial physiology,5
Abnormal cardiac septum morphology,5
Abnormal cellular physiology,5
Abnormal cerebral ventricle morphology,5
Abnormal elasticity of skin,5
Abnormal emotion/affect behavior,5
Abnormal esophagus physiology,5
Abnormal foot morphology,5
Abnormal immunoglobulin level,5
Abnormal intestine morphology,5
Abnormal leukocyte count,5
Abnormal long bone morphology,5
Abnormal lung morphology,5
Abnormal muscle physiology,5
Abnormal muscle tone,5
Abnormal myeloid leukocyte morphology,5
Abnormal pattern of respiration,5
Abnormal respiratory system physiology,5
Abnormal reticulocyte morphology,5
Abnormal systemic arterial morphology,5
Abnormal vascular physiology,5
Abnormality of cardiovascular system electrophysiology,5
Abnormality of digestive system morphology,5
Abnormality of eye movement,5
Abnormality of humoral immunity,5
Abnormality of limb bone morphology,5
Abnormality of skin physiology,5
Abnormality of the biliary system,5
Abnormality of the dentition,5
Abnormality of the hand,5
Abnormality of the lower limb,5
Abnormality of the nose,5
Abnormality of the scalp hair,5
Abnormally lax or hyperextensible skin,5
Acute phase response,5
Anorectal anomaly,5
Arrhythmia,5
Arthralgia,5
Arthritis,5
BMI-adjusted waist circumference,5
Brain measurement,5
Cerebral ischemia,5
Cognitive impairment,5
Corneal opacity,5
Eye measurement,5
Hematuria,5
Hemoptysis,5
Hip circumference,5
Impairment in personality functioning,5
Internal hemorrhage,5
Intracranial hemorrhage,5
Involuntary movements,5
Localized skin lesion,5
Lower limb pain,5
Lymphocyte count,5
Mean corpuscular volume,5
Mental deterioration,5
Monocyte count,5
Morphological abnormality of the gastrointestinal tract,5
Myeloid white cell count,5
Neurological speech impairment,5
