ChemicalName,description,preferredNames
Aluminum,Vascular disease,"TGFB1,MPO,APOB,MMP9,BCL2,SLC2A1"
Aluminum,Intestinal disease,"TGFB1,NRG1,MMP9,BCL2,SNCA"
Aluminum,Rapidly progressive glomerulonephritis,"MPO,COL18A1"
Aluminum,Disease of anatomical entity,"TGFB1,MPO,RCVRN,APOB,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,ESR1,SLC2A1,SNCA"
Aluminum,Gastrointestinal system disease,"TGFB1,NRG1,MMP9,BCL2,ESR1,SNCA"
Aluminum,Nervous system disease,"MPO,RCVRN,APOB,APP,COL18A1,MMP9,IGF1,BCL2,SLC2A1,SNCA"
Aluminum,Goodpasture syndrome,"MPO,COL18A1"
Aluminum,Lung disease,"TGFB1,MPO,NRG1,COL18A1"
Aluminum,Huntingtons disease,"APP,SNCA"
Aluminum,Lewy body dementia,"APP,SNCA"
Aluminum,Toxic encephalopathy,"APP,SNCA"
Aluminum,Disease of cellular proliferation,"TGFB1,MPO,NRG1,IGF1,BCL2,ESR1,SLC2A1"
Aluminum,Frontotemporal dementia,"APP,SNCA"
Aluminum,Disease,"TGFB1,MPO,RCVRN,APOB,CAT,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,ESR1,SLC2A1,SNCA"
Aluminum,Prion disease,"APP,SNCA"
Aluminum,Bone disease,"TGFB1,COL18A1,MMP9,ESR1,SLC2A1"
Aluminum,Cognitive disorder,"APP,ESR1,SNCA"
Arsenic,Disease of anatomical entity,"CYP26B1,SNAI2,B4GALT7,CLDN11,HSD17B10,APOH,VCL,MIF,LGALS1,HMOX1,RIPK3,CTSG,RSPO4,FERMT1,MMP2,APLP1,TGFB1,ICAM5,CAV2,BLNK,MPO,COL1A1,CD82,CYP27B1,COX6A1,SPARC,IL4,LTF,MSH2,REEP6,CCDC92,MSX2,AHR,TWIST1,EGR2,B9D2,ATXN1,NR1D1,WNK4,RAC2,DNAJB9,CD68,TUBG1,KRT5,APOE,PXDN,GFAP,ATP6V1E1,RIN2,PABPC1L,CHRM3,RFXAP,KRAS,NOTCH2,PHC2,CEP135,AKIRIN2,WNT10A,CYP27A1,ALPK3,BLK,IL1RN,GYPC,GABBR2,RPL35,POU5F1,KIF11,BARD1,GUCY2C,MSMO1,RORA,CYBA,PDGFRB,RAB11A,SMAD7,SMAD2,KMT2C,CREBBP,KCNQ4,MAP3K8,IL1B,C9,BIRC3,PALD1,CHMP2B,CDH3,YWHAE,PCDH10,CAD,NPR3,NRXN2,ANK1,CDK6,EXPH5,KCNC1,CACNA1C,LUM,KRT71,TRIP11,CYP11A1,CBFA2T3,GATA6,SOD1,PRDM16,RHOB,RPS27A,MEIS1,OTOF,RASA1,EGFR,ATM,FERMT3,WDR17,DSC2,PABPC3,PLOD2,JAZF1,THY1,JPH3,ANKH,APP,ADAMTS5,KCNMA1,GDF6,KAT6B,NRG1,WNT4,CALM3,NR2F6,CRYAA,PDXK,PWP2,TAL1,WDFY3,PF4,SHROOM3,CAMP,HHIP,WDFY2,PKNOX2,HPRT1,ANPEP,AGFG2,ANKRD11,SLC39A4,ANTXR1,MFF,INSR,GP9,MN1,HOMER2,BMP1,IL7R,YWHAG,RAB33B,ASPSCR1,AHSP,KRT74,CALB2,GLUL,DST,RPL15,TERT,MLC1,KCNE3,KRT2,COQ2,ASPHD1,GSTM1,SPEG,CTBP2,SLC37A2,TLR8,EVX2,UNCX,ALOXE3,ITGA3,MET,GLS,NEUROG1,RPS15A,SLC25A22,CRTAP,COL12A1,FBN1,VIPR1,NEXN,RASA3,FIP1L1,ELAC2,PLCB1,TUBB,HLA-DQA1,ACSL4,FGFR3,PARK7,MAPT,MEF2C,TUBB4B,B4GALNT1,SOX18,SLPI,DOK7,TMEM201,NFASC,CRTC1,EPB41,VAPA,CTSB,DMPK,RPL21,FN1,PDE5A,HTT,MORC4,STK39,PXK,AKAP9,RPS26,PIGR,ANK2,LRBA,APOA4,SYNE2,NR3C2,TPM1,DCAF4,CASP8,VCP,CACNA1G,KCNQ2,DNMT1,PCNT,COL18A1,PTPRF,HLA-DRB1,SCNN1A,MSN,MYLK,COL4A2,PCMTD1,LONP1,DNAJC5,EIF3B,PNP,MACF1,CALD1,CNST,IBA57,SYNE1,NR5A2,TAB2,UTRN,IFNGR1,FCER1A,SEMA4A,S100A8,S100A12,IVL,SCNM1,TACC2,PRDM1,CD58,DPYD,CHRNA4,RPL5,OGFRL1,ROR1,PLCE1,RBP4,CPT2,GRIN1,KCNT1,ARFGEF2,NRG3,RAPGEF1,MMP9,DLG5,COL9A2,CNPY3,MAFB,PGK1,ZBTB43,DENND1A,GSN,EXTL1,LDLRAP1,ALPL,HLA-DRB5,NOTCH4,FOXP3,HLA-C,MOG,THBD,FTL,DPP6,SLC3A2,NPHP4,TP73,BMP2,SAT1,LY86,KRT6A,BEND2,SLC4A11,TLR7,BNC2,CD99,ITPR2,JAK2,YWHAQ,GPNMB,IFNGR2,SLC34A2,AMACR,KCNQ3,DIAPH1,LYST,NLRP12,STX2,CIT,PDCD10,IGF1,VWA2,BPGM,G6PD,KRT15,FAT4,PPP2R2B,PSAP,SLC16A9,HLA-DRA,ZNF169,CXCL12,GLI3,RPS29,PDE1C,ASCC2,CTDSP2,BCL2,CBS,CST3,RADIL,EPHB2,GP1BB,CDKN1A,MAD1L1,SCN9A,MYO7A,IL1R1,CD8A,RPL31,CXCR4,CEP19,PSTPIP2,DLX3,GLI2,TKT,AMER3,EPS15L1,HLA-DPA1,FGF13,GTF2IRD1,PRF1,HLA-DMB,HLA-B,SLC22A5,AP2M1,CC2D2A,LTA,ESR1,ZNF837,SLC13A5,FAT1,MUC6,ZBTB22,GAS7,HLA-DPB1,PRKCA,ANO6,ZFYVE27,SYNJ1,ERLIN1,IL10,NAT8L,CDKN1C,BDNF,RPS24,CD36,SLC2A1,TGFBI,VAPB,VWA1,RAB23,MME,ADAMTS12,TENM3,FBN2,NEDD4,RAI14,SLC45A4,MYBL1,SLC24A4,CAPN1,SPTBN2,KCNJ5,FLI1,FGD4,TSKU,CLP1,EPS8L2,GATA4,PHC1,CCDC91,MARVELD1,DMXL2,ORC4,TMTC1,PCYT2,TET2,APC2,ATXN2,DNM1L,ITGA7,ZNF592,LDLR,WFDC1,PECAM1,RBFOX3,RPL36,RPL27,RPS15,WBP2,KANK2,RPS19,RPS28,MTRNR2L6,GCH1,ABCB1,CYP1B1,YAP1,NCAM1,LRMDA,TCHH,SRRM3,CCNA2,TNFAIP3,RPS10,NEFL,CTDP1,ZNHIT3,MUC1,CIITA,MUC5AC,ZEB2,RYR3,ATP6AP2,HNRNPU,FOXC1,MUC2,TBC1D24,RPL9,PITX2,RPS7,ALDOA,BCL11A,IGF1R,ITM2B,GCLC,ALOX12B,B2M,RPS17,CAPN5,MTUS2,MYD88,FGA,TPM3,RPS27,SLMAP,CALM1,SNCA"
