ChemicalName,description,preferredNames
Aluminum,Blood protein measurement,"TGFB1,MPO,APOB,CAT,NRG1,COL18A1,MMP9,BCL2,TF,ESR1,SNCA"
Aluminum,Phenotypic abnormality,"TGFB1,MPO,APOB,CAT,APP,NRG1,GPD1,COL18A1,MMP9,IGF1,G6PD,BCL2,TF,ESR1,SLC2A1,SNCA"
Aluminum,Abnormality of the cardiovascular system,"TGFB1,APOB,CAT,APP,NRG1,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1,SNCA"
Aluminum,Abnormality of blood and blood-forming tissues,"TGFB1,MPO,APOB,CAT,APP,G6PD,BCL2,TF,SLC2A1"
Aluminum,Abnormality of metabolism/homeostasis,"TGFB1,MPO,APOB,CAT,APP,GPD1,IGF1,G6PD,TF,ESR1,SLC2A1"
Aluminum,Abnormality of the vasculature,"TGFB1,APOB,CAT,APP,NRG1,GPD1,COL18A1,G6PD,ESR1,SLC2A1"
Aluminum,Abnormal erythrocyte morphology,"TGFB1,APOB,CAT,G6PD,TF,SLC2A1"
Aluminum,Abnormality of the immune system,"TGFB1,MPO,CAT,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1"
Aluminum,Poikilocytosis,"APOB,G6PD,SLC2A1"
Aluminum,Protein measurement,"TGFB1,MPO,APOB,CAT,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,TF,ESR1,SLC2A1,SNCA"
Aluminum,Diplopia,"TGFB1,SLC2A1,SNCA"
Aluminum,Arteriosclerosis,"APOB,CAT,ESR1"
Aluminum,Abnormality of binocular vision,"TGFB1,SLC2A1,SNCA"
Aluminum,Abnormality of the digestive system,"TGFB1,APOB,APP,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1,SNCA"
Aluminum,Abnormal circulating metabolite concentration,"APOB,APP,GPD1,IGF1,G6PD,TF,SLC2A1"
Arsenic,Hematological measurement,"MAP4K5,FAM13B,PILRA,TFAP4,APOH,MICALL1,RIPK3,TUBB1,TGFB1,ICAM5,SULT2A1,CYP3A5,BLNK,MPO,ASIC2,COL1A1,CD82,APOC3,CD69,CYP27B1,ZBTB24,SKP1,SLC30A3,BCL9,TBPL1,CCDC92,PLBD1,AHR,SRGN,EGR2,ATXN1,CDC25B,PITHD1,NR1D1,RAC2,RABGAP1L,KIAA0930,APOE,PPFIA1,RPA1,RIN2,CHRM3,CSNK1G2,MBD2,NOTCH2,SLCO1B1,PHC2,OASL,CYP27A1,IGF2BP3,IL1RN,GYPC,SLC31A2,HEMGN,GMPR,TMEM63B,POU5F1,KIF11,SLC40A1,RORA,PDGFRB,RAB11A,RAB27B,SMAD7,SMAD2,CREBBP,UBN1,PRDX1,SCARF1,BLVRB,C9,CDH3,DGKD,NID1,ARHGAP31,YWHAE,MECOM,PPP2R3A,NRXN2,ANK1,CDK6,EXPH5,CACNA1C,CBFA2T3,PRDM16,CERS2,MEIS1,TMEFF2,CTDSPL,SLC10A4,IQGAP2,ARHGAP26,EGFR,ATM,FERMT3,CTF1,FER,HHEX,FRMD1,JAZF1,ANKH,APP,NUP205,KCNMA1,NRG1,NBL1,BTG2,CALM3,PGLYRP2,WDR90,TAL1,LAPTM5,WDFY3,RBM47,SHROOM3,UBXN7,BSN,JAM3,ANKRD11,GRIK5,PRDX2,KLF13,MDM1,INSR,GP9,ANKRD27,ZNHIT1,MN1,IL7R,ASPSCR1,ZNF584,APLF,DST,CYP2S1,TERT,FOSL1,KRT2,ZMAT3,WDR49,GSTM1,CTBP2,TNS3,TRIB1,BAALC,CSPG4,EHBP1L1,PABPC1,ZNF366,DAB2,KLHL11,RAPH1,MET,GLS,PIPOX,ROCK2,NPEPPS,IMPDH2,LARP1B,ITM2C,RUFY1,SLC25A20,DGCR6,CARMIL1,CD86,MIPOL1,RASA3,DLST,NR1I2,TNPO1,ATF4,IQCH,ARHGAP10,NXN,ZNF324B,PCGF5,LIMS1,RTN4,PSMF1,PLCB1,TUBB,HLA-DQA1,ACSL4,PIK3AP1,MAPT,MEF2C,SIGLEC1,PTK2,NEO1,ADIPOR1,RIOK3,RASAL3,AUTS2,DOK7,APOL3,TOX2,NFASC,CRTC1,EPB41,CTSB,GPX4,SYT5,FN1,PDE5A,HTT,DNM3,THSD4,PXK,AKAP9,RPS26,PEX14,LRBA,FRMD4A,CREB5,SYNE2,NR3C2,TPM1,DCAF4,CASP8,MAX,VCP,WWP2,TPGS1,DNMT1,PCNT,COL18A1,PTPRF,HLA-DRB1,CUX1,COL4A2,LONP1,DNAJC5,MACF1,MAST2,NFE2L1,E2F2,SCAMP5,PTPN14,NR5A2,TAB2,IVNS1ABP,CEP350,NDUFS2,ARHGAP18,S100A8,BCCIP,PLEKHO1,AKNAD1,DPYD,RPL5,SCD,GNG12,GADD45A,FRAT2,NFIA,SORBS1,PDLIM1,PLCE1,VAV2,DLG5,CCND3,FHL3,MCU,PGK1,DENND1A,GSN,LDLRAP1,SVEP1,TXN,RAP1GAP,HLA-DMA,HLA-DRB5,NOTCH4,SIK3,TFDP1,CLIC1,PRRC2A,TPP2,LST1,HLA-C,PIP4K2A,MOG,PLXDC2,KLF5,CKAP4,SLC4A11,BNC2,ITPR2,JAK2,FBXL18,CD9,NYNRIN,DIAPH1,LYST,RPS9,NLRP12,STX2,TFRC,DYNLL1,CIT,TAOK3,WIPF1,RAB37,ETS1,PDCD10,POU2AF1,G6PD,CDKN2D,SRPK2,PAIP2,EFCAB5,RAB3IL1,SLC16A9,HLA-DRA,ZNF169,CAMK2B,CXCL12,ARHGAP21,UBE2E2,ITGA4,SLC7A7,CDYL,ASCC2,SH3KBP1,ARHGEF12,MAP2K7,BCL2,CBS,CABIN1,FGFRL1,DAAM2,BACH1,MAP3K7CL,GP1BB,MIER1,UBAC2,CDCA7L,MEI1,STEAP1B,IFRD1,ADCY3,PARVB,SLC8A1,CDKN1A,MAD1L1,LTBP1,IL1R1,TBC1D14,R3HDM1,PSTPIP2,TKT,EPS15L1,CD163L1,HLA-DPA1,CORO1C,NFIC,BAHD1,PRF1,HLA-B,SHC1,MXD3,SLC22A5,HP1BP3,CC2D2A,LTA,PLEKHA5,FAT1,GAS7,ACOXL,HLA-DPB1,SYNJ1,FBXO46,IGF2BP2,BDNF,CTCFL,CD36,FKBP15,DDX39B,SLC2A1,SEMA4D,MED12L,ZBTB20,BRD9,RWDD1,TFR2,KLHL29,SH3D21,PDGFC,INPP4B,SMUG1,FBN2,RNF150,RAI14,TNFAIP8,FHDC1,SLC45A4,LYN,TPD52,ASAP1,RNF130,SLC24A4,CFL1,KDM2A,FLI1,FGD4,MAML2,CLP1,PHC1,CCDC91,ABCB9,EVI5,GPR161,USP36,ORC4,TET2,ZNRF3,FKBP5,FXYD5,ATXN2,DAZAP2,DNM1L,PECAM1,ZSCAN10,RAB31,ADAP2,RPL36,SLC44A2,WBP2,KANK2,LSM4,WIZ,ANKRD24,MMP28,GCH1,YAP1,ZFAND6,RAPGEFL1,LRMDA,PDLIM5,CCNA2,TNFAIP3,RPS10,ABCG4,ARHGAP23,MYH7B,HPCAL1,CTDP1,ZNHIT3,IFITM2,TMEM120A,CIITA,DOCK1,CNOT9,ZEB2,DNAH10,FBF1,ZNF654,FYB1,GRB10,ABCC4,TBC1D24,ALDOA,BCL11A,IGF1R,GCLC,FGA,TPM3,SLMAP,BTD,AKT3"
