category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:1287	11	493	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000261733,9606.ENSP00000263341,9606.ENSP00000266376,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000379140,9606.ENSP00000392043,9606.ENSP00000414303,9606.ENSP00000499717	HMOX1,TGFB1,ALDH2,IL1B,CACNA1C,F2,MYLK,CXCL12,ATP2B1,BDNF,CALM1	1.16e-07	0.00044	Cardiovascular system disease
DISEASES	DOID:7	32	4798	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000228606,9606.ENSP00000259455,9606.ENSP00000261733,9606.ENSP00000263341,9606.ENSP00000264773,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000324890,9606.ENSP00000340913,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000356545,9606.ENSP00000357721,9606.ENSP00000357753,9606.ENSP00000362125,9606.ENSP00000367545,9606.ENSP00000379140,9606.ENSP00000386884,9606.ENSP00000392043,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000431984,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000482457,9606.ENSP00000493985,9606.ENSP00000499717	HMOX1,TGFB1,CYP27B1,GABBR2,ALDH2,IL1B,KCNN2,CACNA1C,SOD1,KCNMA1,F2,CD28,TRPC6,COL18A1,MYLK,CACNA1E,S100A8,IVL,PCDH19,TP73,CXCL12,CXCR4,ATP2B1,BDNF,ADCY5,CASR,CAPN1,ABCB1,CYP1B1,PLCG2,KNG1,CALM1	9.64e-08	0.00044	Disease of anatomical entity
DISEASES	DOID:178	8	249	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000379140,9606.ENSP00000392043,9606.ENSP00000414303	HMOX1,TGFB1,IL1B,F2,MYLK,CXCL12,ATP2B1,BDNF	5.28e-07	0.00081	Vascular disease
DISEASES	DOID:612	10	470	9606	9606.ENSP00000228606,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000324890,9606.ENSP00000352798,9606.ENSP00000379140,9606.ENSP00000386884,9606.ENSP00000478255,9606.ENSP00000482457,9606.ENSP00000493985	CYP27B1,IL1B,F2,CD28,COL18A1,CXCL12,CXCR4,ABCB1,PLCG2,KNG1	7.17e-07	0.00082	Primary immunodeficiency disease
DISEASES	DOID:0050828	6	130	9606	9606.ENSP00000221930,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000379140,9606.ENSP00000392043	TGFB1,IL1B,F2,MYLK,CXCL12,ATP2B1	2.09e-06	0.0019	Artery disease
DISEASES	DOID:4	34	6291	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000241052,9606.ENSP00000259455,9606.ENSP00000261733,9606.ENSP00000263341,9606.ENSP00000264773,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000324890,9606.ENSP00000340913,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000356545,9606.ENSP00000357721,9606.ENSP00000357753,9606.ENSP00000362125,9606.ENSP00000367545,9606.ENSP00000379140,9606.ENSP00000386884,9606.ENSP00000392043,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000431984,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000482457,9606.ENSP00000493985,9606.ENSP00000499717	HMOX1,TGFB1,PON1,CYP27B1,CAT,GABBR2,ALDH2,IL1B,KCNN2,CACNA1C,SOD1,KCNMA1,F2,CD28,TRPC6,COL18A1,MYLK,CACNA1E,S100A8,IVL,PCDH19,TP73,CXCL12,CXCR4,ATP2B1,BDNF,ADCY5,CASR,CAPN1,ABCB1,CYP1B1,PLCG2,KNG1,CALM1	5.19e-06	0.004	Disease
DISEASES	DOID:0060591	2	2	9606	9606.ENSP00000379140,9606.ENSP00000386884	CXCL12,CXCR4	4.55e-05	0.0261	WHIM syndrome
DISEASES	DOID:10325	2	2	9606	9606.ENSP00000221930,9606.ENSP00000263341	TGFB1,IL1B	4.55e-05	0.0261	Silicosis
DISEASES	DOID:936	10	806	9606	9606.ENSP00000259455,9606.ENSP00000263341,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000356545,9606.ENSP00000362125,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194	GABBR2,IL1B,SOD1,KCNMA1,F2,CACNA1E,PCDH19,BDNF,ADCY5,CASR	7.4e-05	0.034	Brain disease
DISEASES	DOID:326	3	30	9606	9606.ENSP00000216117,9606.ENSP00000263341,9606.ENSP00000414303	HMOX1,IL1B,BDNF	0.00011	0.0418	Ischemia
DISEASES	DOID:331	12	1199	9606	9606.ENSP00000228606,9606.ENSP00000259455,9606.ENSP00000263341,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000356545,9606.ENSP00000362125,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000431984	CYP27B1,GABBR2,IL1B,SOD1,KCNMA1,F2,CACNA1E,PCDH19,BDNF,ADCY5,CASR,CAPN1	0.0001	0.0418	Central nervous system disease
