category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	EFO:0004747	26	5856	9606	9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000262367,9606.ENSP00000262424,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000265421,9606.ENSP00000270142,9606.ENSP00000280904,9606.ENSP00000284987,9606.ENSP00000296575,9606.ENSP00000311469,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000340820,9606.ENSP00000356771,9606.ENSP00000370115,9606.ENSP00000384849,9606.ENSP00000385834,9606.ENSP00000392043,9606.ENSP00000415769,9606.ENSP00000436455,9606.ENSP00000446252,9606.ENSP00000478561,9606.ENSP00000481570,9606.ENSP00000497574	TGFB1,CAT,CREBBP,CRISPLD2,NOX4,IL1B,POLB,SOD1,DSC2,ADAMTS5,HHIP,GSTM1,HBA1,MMP1,MAPT,F5,SERPINB1,CDKN1A,TF,ATP2B1,ITIH3,NUCB2,SOD2,CYP1B1,TNFAIP3,GCLC	2.13e-06	0.0204	Protein measurement
HPO	HP:0001931	4	40	9606	9606.ENSP00000221930,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000385834	TGFB1,HBA1,MMP1,TF	1.67e-06	0.0204	Hypochromic anemia
HPO	HP:0000951	14	1888	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000262367,9606.ENSP00000263341,9606.ENSP00000270142,9606.ENSP00000280904,9606.ENSP00000306245,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000356771,9606.ENSP00000478561,9606.ENSP00000481570,9606.ENSP00000497574	MMP2,TGFB1,CAT,CREBBP,IL1B,SOD1,DSC2,FOS,HBA1,MMP1,F5,CYP1B1,TNFAIP3,GCLC	8.39e-06	0.0219	Abnormality of the skin
HPO	HP:0001903	8	498	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000385834,9606.ENSP00000481570,9606.ENSP00000497574	HMOX1,TGFB1,CAT,HBA1,MMP1,TF,TNFAIP3,GCLC	5.39e-06	0.0219	Anemia
HPO	HP:0002105	4	57	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000356771,9606.ENSP00000497574	HMOX1,TGFB1,F5,GCLC	6.26e-06	0.0219	Hemoptysis
HPO	EFO:0000405	5	208	9606	9606.ENSP00000221930,9606.ENSP00000262424,9606.ENSP00000296575,9606.ENSP00000322788,9606.ENSP00000340820	TGFB1,CRISPLD2,HHIP,MMP1,MAPT	5.96e-05	0.0231	Digestive system disease
HPO	EFO:0000408	11	1373	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000262367,9606.ENSP00000262424,9606.ENSP00000296575,9606.ENSP00000322788,9606.ENSP00000340820,9606.ENSP00000356771,9606.ENSP00000392043,9606.ENSP00000478561,9606.ENSP00000481570	MMP2,TGFB1,CREBBP,CRISPLD2,HHIP,MMP1,MAPT,F5,ATP2B1,CYP1B1,TNFAIP3	5.2e-05	0.0231	Disease
HPO	EFO:0005278	15	2228	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000262367,9606.ENSP00000263317,9606.ENSP00000265074,9606.ENSP00000265421,9606.ENSP00000311469,9606.ENSP00000340820,9606.ENSP00000356771,9606.ENSP00000384849,9606.ENSP00000385834,9606.ENSP00000392043,9606.ENSP00000415769,9606.ENSP00000436455,9606.ENSP00000497574	HMOX1,TGFB1,CREBBP,NOX4,NPR3,POLB,GSTM1,MAPT,F5,CDKN1A,TF,ATP2B1,ITIH3,NUCB2,GCLC	1.14e-05	0.0231	Cardiovascular disease biomarker measurement
HPO	EFO:0005763	7	461	9606	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000265074,9606.ENSP00000384849,9606.ENSP00000392043,9606.ENSP00000415769,9606.ENSP00000436455	TGFB1,NOX4,NPR3,CDKN1A,ATP2B1,ITIH3,NUCB2	3.21e-05	0.0231	Pulse pressure measurement
HPO	HP:0001211	4	100	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000262367,9606.ENSP00000497574	HMOX1,TGFB1,CREBBP,GCLC	5.19e-05	0.0231	Abnormal fingertip morphology
