category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0001394	8	137	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272	MIF,HMOX1,TGFB1,APOE,SLC40A1,FOS,F2,MET	1.12e-08	0.00014	Cirrhosis
HPO	HP:0002597	19	1673	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261267,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000377783,9606.ENSP00000384849,9606.ENSP00000405330,9606.ENSP00000478255,9606.ENSP00000478561	MIF,HMOX1,TGFB1,CAT,APOE,LYZ,APP,CA2,FOS,F2,MET,MMP1,FN1,COL18A1,PROS1,CDKN1A,ESR1,ABCB1,CYP1B1	2.36e-07	0.0014	Abnormality of the vasculature
HPO	HP:0001871	16	1214	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000346839,9606.ENSP00000366307,9606.ENSP00000377783,9606.ENSP00000381185,9606.ENSP00000481570	MIF,HMOX1,TGFB1,CAT,APOE,SLC40A1,APP,CA2,F2,MET,MMP1,FN1,THBD,PROS1,BCL2,TNFAIP3	3.96e-07	0.0016	Abnormality of blood and blood-forming tissues
HPO	HP:0001626	22	2438	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000219919,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000261267,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000377783,9606.ENSP00000384849,9606.ENSP00000405330,9606.ENSP00000441235,9606.ENSP00000478255,9606.ENSP00000478561	MIF,HMOX1,AQP9,TGFB1,CAT,APOE,SLC40A1,LYZ,APP,CA2,FOS,F2,MET,MMP1,FN1,COL18A1,PROS1,CDKN1A,ESR1,TSHR,ABCB1,CYP1B1	9.99e-07	0.003	Abnormality of the cardiovascular system
HPO	HP:0030680	18	1680	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000284981,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000377783,9606.ENSP00000384849,9606.ENSP00000405330,9606.ENSP00000478255,9606.ENSP00000478561	MIF,HMOX1,TGFB1,CAT,APOE,SLC40A1,APP,FOS,F2,MET,MMP1,FN1,COL18A1,PROS1,CDKN1A,ESR1,ABCB1,CYP1B1	1.26e-06	0.0031	Abnormality of cardiovascular system morphology
HPO	HP:0011032	10	532	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000261267,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000346839,9606.ENSP00000441235	MIF,HMOX1,TGFB1,APOE,SLC40A1,LYZ,F2,MET,FN1,TSHR	4.17e-06	0.0082	Abnormality of fluid regulation
HPO	HP:0012337	15	1275	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000261267,9606.ENSP00000285379,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000346839,9606.ENSP00000405330,9606.ENSP00000441235,9606.ENSP00000481570	MIF,HMOX1,TGFB1,CAT,APOE,SLC40A1,LYZ,CA2,FOS,F2,MET,FN1,ESR1,TSHR,TNFAIP3	4.01e-06	0.0082	Abnormal homeostasis
HPO	EFO:0007937	17	1810	9606	9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000243347,9606.ENSP00000250457,9606.ENSP00000252486,9606.ENSP00000261267,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000357425,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000478255	TGFB1,CAT,TNFAIP6,EGLN3,APOE,LYZ,CA2,F2,MET,MMP1,FN1,COL18A1,SMPDL3A,MMP9,BCL2,ESR1,ABCB1	1.56e-05	0.0194	Blood protein measurement
HPO	HP:0000118	31	5129	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000219919,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000261024,9606.ENSP00000261267,9606.ENSP00000263341,9606.ENSP00000282903,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000345282,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000366307,9606.ENSP00000377783,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000398890,9606.ENSP00000405330,9606.ENSP00000441235,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000481570	MIF,HMOX1,AQP9,TGFB1,CAT,APOE,POU5F1,SLC40A1,LYZ,IL1B,PLOD2,APP,CA2,FOS,F2,MET,MMP1,GPT2,FN1,COL18A1,MMP9,THBD,PROS1,BCL2,CDKN1A,HLA-DMB,ESR1,TSHR,ABCB1,CYP1B1,TNFAIP3	1.34e-05	0.0194	Phenotypic abnormality
HPO	HP:0001080	5	96	9606	9606.ENSP00000215754,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000308541,9606.ENSP00000317272	MIF,HMOX1,TGFB1,F2,MET	1.27e-05	0.0194	Biliary tract abnormality
HPO	HP:0001574	19	2266	9606	9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000261267,9606.ENSP00000263341,9606.ENSP00000282903,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000322788,9606.ENSP00000352798,9606.ENSP00000377783,9606.ENSP00000381185,9606.ENSP00000398890,9606.ENSP00000405330,9606.ENSP00000441235,9606.ENSP00000478561,9606.ENSP00000481570	TGFB1,CAT,APOE,SLC40A1,LYZ,IL1B,PLOD2,FOS,F2,MET,MMP1,COL18A1,PROS1,BCL2,HLA-DMB,ESR1,TSHR,CYP1B1,TNFAIP3	2.1e-05	0.02	Abnormality of the integument
