category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0001939	24	2168	9606	9606.ENSP00000216117,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000273550,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000298743,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000366525,9606.ENSP00000376197,9606.ENSP00000379258,9606.ENSP00000385834,9606.ENSP00000407552,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,PON1,CYP27B1,APOE,SLC40A1,EPAS1,CACNA1C,SOD1,FTH1,ATM,APP,GAS1,F2,HBA1,MMP1,FTL,TFRC,GLI3,TF,GAS7,TFR2,GCLC,B2M,FECH	6.32e-08	0.00077	Abnormality of metabolism/homeostasis
HPO	EFO:0004747	39	5856	9606	9606.ENSP00000221515,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000255409,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000265421,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000275493,9606.ENSP00000283928,9606.ENSP00000284981,9606.ENSP00000295256,9606.ENSP00000302144,9606.ENSP00000308541,9606.ENSP00000315743,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000329920,9606.ENSP00000331736,9606.ENSP00000337500,9606.ENSP00000340983,9606.ENSP00000376197,9606.ENSP00000377224,9606.ENSP00000379258,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000407552,9606.ENSP00000420525,9606.ENSP00000424126,9606.ENSP00000435844,9606.ENSP00000446252,9606.ENSP00000474412,9606.ENSP00000493664,9606.ENSP00000497574,9606.ENSP00000498358,9606.ENSP00000500990	RETN,PON1,CYP27B1,APOE,PXDN,CHI3L1,SLC40A1,EPAS1,POLB,CACNA1C,SOD1,EGFR,JAZF1,APP,HPGDS,TMEM154,F2,CCNG2,HBA1,MMP1,MCEMP1,SELE,PCGF5,LRRC25,TFRC,CDKN2D,GLI3,BCL2,TF,GAS7,TFR2,MCTP1,MS4A6A,SOD2,CCL5,DOCK10,GCLC,FECH,SNCA	7.39e-07	0.0015	Protein measurement
HPO	HP:0001394	7	137	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000308541,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000498358	HMOX1,APOE,SLC40A1,F2,TFR2,GCLC,FECH	5.12e-07	0.0015	Cirrhosis
HPO	HP:0001871	17	1214	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000264870,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,APOE,SLC40A1,EPAS1,F13A1,ATM,APP,F2,HBA1,MMP1,TFRC,BCL2,TF,TFR2,GCLC,B2M,FECH	3.91e-07	0.0015	Abnormality of blood and blood-forming tissues
HPO	HP:0003281	5	36	9606	9606.ENSP00000261024,9606.ENSP00000273550,9606.ENSP00000308541,9606.ENSP00000366525,9606.ENSP00000420525	SLC40A1,FTH1,F2,FTL,TFR2	2.43e-07	0.0015	Increased circulating ferritin concentration
HPO	HP:0025031	24	2389	9606	9606.ENSP00000216117,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000264870,9606.ENSP00000270142,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000298743,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000366525,9606.ENSP00000376197,9606.ENSP00000379258,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358,9606.ENSP00000500990	HMOX1,PON1,CYP27B1,APOE,SLC40A1,EPAS1,F13A1,SOD1,EGFR,ATM,APP,GAS1,F2,HBA1,MMP1,FTL,TFRC,GLI3,TF,TFR2,GCLC,B2M,FECH,SNCA	3.88e-07	0.0015	Abnormality of the digestive system
HPO	HP:0032180	15	1010	9606	9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000266376,9606.ENSP00000273550,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000366525,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497910,9606.ENSP00000498358	CYP27B1,APOE,SLC40A1,EPAS1,CACNA1C,FTH1,ATM,APP,F2,MMP1,FTL,TF,TFR2,B2M,FECH	1.06e-06	0.0016	Abnormal circulating metabolite concentration
HPO	HP:0033331	6	104	9606	9606.ENSP00000228606,9606.ENSP00000261024,9606.ENSP00000273550,9606.ENSP00000308541,9606.ENSP00000366525,9606.ENSP00000420525	CYP27B1,SLC40A1,FTH1,F2,FTL,TFR2	1.79e-06	0.0024	Acute phase response
HPO	HP:0001877	11	554	9606	9606.ENSP00000216117,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000498358	HMOX1,SLC40A1,EPAS1,F2,HBA1,MMP1,TFRC,TF,TFR2,GCLC,FECH	2.44e-06	0.003	Abnormal erythrocyte morphology
HPO	HP:0012378	8	258	9606	9606.ENSP00000222381,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000270142,9606.ENSP00000278616,9606.ENSP00000308541,9606.ENSP00000366525,9606.ENSP00000420525	PON1,SLC40A1,EPAS1,SOD1,ATM,F2,FTL,TFR2	2.83e-06	0.0031	Fatigue
HPO	HP:0025032	19	1763	9606	9606.ENSP00000216117,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000264870,9606.ENSP00000270142,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000298743,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000366525,9606.ENSP00000376197,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358,9606.ENSP00000500990	HMOX1,PON1,CYP27B1,SLC40A1,EPAS1,F13A1,SOD1,EGFR,ATM,APP,GAS1,F2,MMP1,FTL,TFRC,GCLC,B2M,FECH,SNCA	3.51e-06	0.0036	Abnormality of digestive system physiology
HPO	HP:0012649	14	981	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000264870,9606.ENSP00000266376,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000298743,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,APOE,F13A1,CACNA1C,EGFR,ATM,JAZF1,GAS1,HBA1,MMP1,TFRC,GCLC,B2M,FECH	4.09e-06	0.0038	Increased inflammatory response
HPO	HP:0001903	10	498	9606	9606.ENSP00000216117,9606.ENSP00000261024,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000498358	HMOX1,SLC40A1,F2,HBA1,MMP1,TFRC,TF,TFR2,GCLC,FECH	6.68e-06	0.0054	Anemia
HPO	HP:0002597	18	1673	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000263734,9606.ENSP00000264870,9606.ENSP00000266376,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000298743,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000379258,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,APOE,EPAS1,F13A1,CACNA1C,EGFR,ATM,APP,GAS1,F2,HBA1,MMP1,TFRC,GLI3,TFR2,GCLC,B2M,FECH	7.01e-06	0.0054	Abnormality of the vasculature
HPO	HP:0002715	18	1682	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000264870,9606.ENSP00000266376,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000298743,9606.ENSP00000308541,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000379258,9606.ENSP00000385834,9606.ENSP00000420525,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,APOE,F13A1,CACNA1C,EGFR,ATM,JAZF1,GAS1,F2,HBA1,MMP1,TFRC,GLI3,TF,TFR2,GCLC,B2M,FECH	7.55e-06	0.0054	Abnormality of the immune system
HPO	HP:0010978	16	1347	9606	9606.ENSP00000216117,9606.ENSP00000252486,9606.ENSP00000264870,9606.ENSP00000266376,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000283928,9606.ENSP00000298743,9606.ENSP00000322421,9606.ENSP00000322788,9606.ENSP00000376197,9606.ENSP00000379258,9606.ENSP00000385834,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,APOE,F13A1,CACNA1C,EGFR,ATM,JAZF1,GAS1,HBA1,MMP1,TFRC,GLI3,TF,GCLC,B2M,FECH	7.61e-06	0.0054	Abnormality of immune system physiology
