category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0000118	64	5129	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000222381,9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000262160,9606.ENSP00000263341,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000291554,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000320509,9606.ENSP00000322020,9606.ENSP00000329797,9606.ENSP00000332164,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000340278,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000348215,9606.ENSP00000349016,9606.ENSP00000354573,9606.ENSP00000354772,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000384477,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000407552,9606.ENSP00000414303,9606.ENSP00000415769,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000427424,9606.ENSP00000438804,9606.ENSP00000461947,9606.ENSP00000463653,9606.ENSP00000468253,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,STUB1,PON1,MPO,CYP27B1,C3,APOE,PXDN,SMAD2,IL1B,ANK1,AHSG,APP,CA2,CALM3,CRYAA,TK2,BUB1,BANK1,SLC25A22,CADM1,SLIT3,LIPA,HLA-DQA1,PARK7,SOX18,FN1,SH3PXD2A,PEX14,MACF1,MVB12B,IVNS1ABP,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,GSN,JAK2,IGF1,G6PD,CST3,IFRD1,TF,RELN,GAS7,BDNF,ITIH3,VWA1,MME,SH3BP2,TNFAIP8,HNF1A,CD226,RBFOX3,CFD,ABCB1,TNFAIP3,DCX,PAX6,GCLC,B2M,FECH	1.33e-12	1.63e-08	Phenotypic abnormality
HPO	EFO:0007937	34	1810	9606	9606.ENSP00000220478,9606.ENSP00000222381,9606.ENSP00000225275,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000285379,9606.ENSP00000311469,9606.ENSP00000319464,9606.ENSP00000320509,9606.ENSP00000335153,9606.ENSP00000337335,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000342026,9606.ENSP00000346839,9606.ENSP00000354573,9606.ENSP00000356037,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000375618,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000385834,9606.ENSP00000436423,9606.ENSP00000438804,9606.ENSP00000478255,9606.ENSP00000493664	SCG3,PON1,MPO,C3,APOE,PXDN,ANK1,AHSG,CA2,GSTM1,CPN2,BANK1,HSP90AA1,SLC22A8,LIPA,HLA-DQA1,PRDX6,FN1,MACF1,C4BPA,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,GSN,LILRA2,CST3,GSTP1,TF,GNLY,HNF1A,ABCB1,DOCK10	1.62e-10	9.87e-07	Blood protein measurement
HPO	HP:0001939	36	2168	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000222381,9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000265709,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000337354,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000407552,9606.ENSP00000438804,9606.ENSP00000481570,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,STUB1,PON1,MPO,CYP27B1,APOE,ANK1,APP,CA2,CALM3,TK2,BUB1,LIPA,SOX18,FN1,PEX14,IVNS1ABP,F5,FCGR3A,NDUFS2,MAN1B1,GSN,JAK2,IGF1,G6PD,CST3,TF,RELN,GAS7,HNF1A,TNFAIP3,PAX6,GCLC,B2M,FECH	1.12e-09	4.57e-06	Abnormality of metabolism/homeostasis
HPO	EFO:0004747	63	5856	9606	9606.ENSP00000220478,9606.ENSP00000222381,9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000311469,9606.ENSP00000319464,9606.ENSP00000320509,9606.ENSP00000329797,9606.ENSP00000332164,9606.ENSP00000335153,9606.ENSP00000337335,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000342026,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000354573,9606.ENSP00000356037,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000363641,9606.ENSP00000370115,9606.ENSP00000371067,9606.ENSP00000375618,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000379287,9606.ENSP00000381448,9606.ENSP00000381607,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000401303,9606.ENSP00000407552,9606.ENSP00000414303,9606.ENSP00000415769,9606.ENSP00000418525,9606.ENSP00000424501,9606.ENSP00000425915,9606.ENSP00000427424,9606.ENSP00000430656,9606.ENSP00000436423,9606.ENSP00000438804,9606.ENSP00000461947,9606.ENSP00000463653,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000493664,9606.ENSP00000497574,9606.ENSP00000498358	SCG3,PON1,MPO,CYP27B1,C3,APOE,PXDN,NOX4,IL1B,BIRC3,ANK1,AHSG,APP,CA2,GSTM1,CPN2,BANK1,CADM1,SLIT3,HSP90AA1,SLC22A8,LIPA,HLA-DQA1,PRDX6,FN1,PEX14,MACF1,C4BPA,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,GSN,TXN,SERPINB1,JAK2,LILRA2,IGF1,G6PD,YWHAZ,CST3,GSTP1,TF,RELN,SHC1,GAS7,BDNF,ITIH3,MME,HTN1,SELENOP,TNFAIP8,CA1,GNLY,HNF1A,CD226,RBFOX3,ABCB1,TNFAIP3,DOCK10,GCLC,FECH	2.03e-09	6.19e-06	Protein measurement
HPO	HP:0002715	31	1682	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000225275,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000265709,9606.ENSP00000285379,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000322020,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000341815,9606.ENSP00000356468,9606.ENSP00000356946,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000427424,9606.ENSP00000468253,9606.ENSP00000481570,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,STUB1,MPO,C3,APOE,IL1B,ANK1,CA2,TK2,BUB1,SLC25A22,LIPA,HLA-DQA1,SOX18,IVNS1ABP,FCGR3A,GSN,JAK2,G6PD,TF,RELN,MME,SH3BP2,TNFAIP8,CFD,TNFAIP3,PAX6,GCLC,B2M,FECH	2.12e-09	6.19e-06	Abnormality of the immune system
HPO	HP:0033127	43	3173	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000262160,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000322020,9606.ENSP00000332164,9606.ENSP00000337354,9606.ENSP00000340278,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000354573,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000384477,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000414303,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000438804,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910	HMOX1,MMP2,STUB1,PON1,CYP27B1,APOE,SMAD2,ANK1,AHSG,APP,CA2,TK2,BUB1,SLC25A22,SLIT3,LIPA,PARK7,SOX18,FN1,PEX14,MACF1,IVNS1ABP,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,GSN,JAK2,IGF1,IFRD1,TF,RELN,BDNF,VWA1,MME,SH3BP2,HNF1A,TNFAIP3,DCX,PAX6,GCLC,B2M	7.1e-09	1.44e-05	Abnormality of the musculoskeletal system
HPO	HP:0001871	25	1214	9606	9606.ENSP00000216117,9606.ENSP00000225275,9606.ENSP00000252486,9606.ENSP00000262160,9606.ENSP00000265709,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000302530,9606.ENSP00000337354,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000385834,9606.ENSP00000438804,9606.ENSP00000481570,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MPO,APOE,SMAD2,ANK1,APP,CA2,BUB1,LIPA,FN1,PEX14,IVNS1ABP,F5,FCGR3A,NDUFS2,GSN,JAK2,G6PD,CST3,TF,HNF1A,TNFAIP3,GCLC,B2M,FECH	1.34e-08	2.34e-05	Abnormality of blood and blood-forming tissues
HPO	HP:0000707	43	3471	9606	9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000262160,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000322020,9606.ENSP00000329797,9606.ENSP00000337354,9606.ENSP00000340278,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000348215,9606.ENSP00000349016,9606.ENSP00000354573,9606.ENSP00000356771,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000381448,9606.ENSP00000384477,9606.ENSP00000392423,9606.ENSP00000414303,9606.ENSP00000415769,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000438804,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910	MMP2,STUB1,PON1,CYP27B1,APOE,SMAD2,ANK1,AHSG,APP,CA2,CALM3,TK2,BUB1,SLC25A22,CADM1,LIPA,PARK7,SOX18,FN1,SH3PXD2A,PEX14,MACF1,F5,NDUFS2,MAN1B1,GSN,JAK2,IGF1,CST3,IFRD1,RELN,BDNF,ITIH3,VWA1,MME,SH3BP2,HNF1A,ABCB1,TNFAIP3,DCX,PAX6,GCLC,B2M	1.02e-07	0.00015	Abnormality of the nervous system
HPO	HP:0000924	37	2708	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000262160,9606.ENSP00000265709,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000299697,9606.ENSP00000302530,9606.ENSP00000322020,9606.ENSP00000332164,9606.ENSP00000337354,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000354573,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000384477,9606.ENSP00000385834,9606.ENSP00000392423,9606.ENSP00000414303,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000497574,9606.ENSP00000497910	HMOX1,MMP2,STUB1,CYP27B1,APOE,SMAD2,ANK1,AHSG,APP,CA2,TK2,BUB1,SLC25A22,SLIT3,LIPA,SOX18,FN1,PEX14,MACF1,IVNS1ABP,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,IGF1,IFRD1,TF,RELN,BDNF,VWA1,MME,SH3BP2,TNFAIP3,DCX,GCLC,B2M	1.1e-07	0.00015	Abnormality of the skeletal system
HPO	HP:0002597	28	1673	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000252486,9606.ENSP00000262160,9606.ENSP00000265709,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000302530,9606.ENSP00000337354,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000348215,9606.ENSP00000356468,9606.ENSP00000356771,9606.ENSP00000356972,9606.ENSP00000362924,9606.ENSP00000371067,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000392423,9606.ENSP00000424846,9606.ENSP00000478255,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,APOE,SMAD2,ANK1,APP,CA2,CALM3,BUB1,LIPA,SOX18,FN1,SH3PXD2A,IVNS1ABP,F5,NDUFS2,GSN,JAK2,G6PD,CST3,RELN,SH3BP2,ABCB1,DCX,PAX6,GCLC,B2M,FECH	1.19e-07	0.00015	Abnormality of the vasculature
