category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:585	3	16	9606	9606.ENSP00000228606,9606.ENSP00000259206,9606.ENSP00000420194	CYP27B1,IL1RN,CASR	1.72e-06	0.0079	Nephrolithiasis
DISEASES	DOID:0050117	6	368	9606	9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000353720,9606.ENSP00000366416,9606.ENSP00000366525	CYP27B1,APOE,IL1B,CES1,EDNRB,FTL	5.83e-06	0.0105	Disease by infectious agent
DISEASES	DOID:10124	4	85	9606	9606.ENSP00000252486,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000478561	APOE,IL1RN,IL1B,CYP1B1	4.56e-06	0.0105	Corneal disease
DISEASES	DOID:0080001	6	540	9606	9606.ENSP00000225964,9606.ENSP00000228606,9606.ENSP00000263341,9606.ENSP00000353720,9606.ENSP00000363973,9606.ENSP00000420194	COL1A1,CYP27B1,IL1B,CES1,ALPL,CASR	4.95e-05	0.0351	Bone disease
DISEASES	DOID:0080005	3	59	9606	9606.ENSP00000228606,9606.ENSP00000363973,9606.ENSP00000420194	CYP27B1,ALPL,CASR	6.48e-05	0.0351	Bone remodeling disease
DISEASES	DOID:104	4	140	9606	9606.ENSP00000228606,9606.ENSP00000263341,9606.ENSP00000366416,9606.ENSP00000366525	CYP27B1,IL1B,EDNRB,FTL	3.06e-05	0.0351	Bacterial infectious disease
DISEASES	DOID:12466	2	6	9606	9606.ENSP00000228606,9606.ENSP00000420194	CYP27B1,CASR	4.3e-05	0.0351	Secondary hyperparathyroidism
DISEASES	DOID:17	8	1154	9606	9606.ENSP00000225964,9606.ENSP00000228606,9606.ENSP00000252486,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000353720,9606.ENSP00000363973,9606.ENSP00000420194	COL1A1,CYP27B1,APOE,IL1RN,IL1B,CES1,ALPL,CASR	6.22e-05	0.0351	Musculoskeletal system disease
DISEASES	DOID:65	7	774	9606	9606.ENSP00000225964,9606.ENSP00000228606,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000353720,9606.ENSP00000363973,9606.ENSP00000420194	COL1A1,CYP27B1,IL1RN,IL1B,CES1,ALPL,CASR	3.82e-05	0.0351	Connective tissue disease
DISEASES	DOID:986	3	47	9606	9606.ENSP00000228606,9606.ENSP00000259206,9606.ENSP00000263341	CYP27B1,IL1RN,IL1B	3.39e-05	0.0351	Alopecia areata
