category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0001376	4	356	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	MMP2,TGFB1,COL1A1,MMP9	3.67e-06	0.0277	Limitation of joint mobility
HPO	HP:0002644	4	512	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	MMP2,TGFB1,COL1A1,MMP9	1.53e-05	0.0277	Abnormal pelvic girdle bone morphology
HPO	HP:0003367	3	127	9606	9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	TGFB1,COL1A1,MMP9	9.63e-06	0.0277	Abnormal femoral neck morphology
HPO	HP:0005791	2	5	9606	9606.ENSP00000221930,9606.ENSP00000225964	TGFB1,COL1A1	2.27e-06	0.0277	Cortical thickening of long bone diaphyses
HPO	HP:0040070	4	401	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	MMP2,TGFB1,COL1A1,MMP9	5.86e-06	0.0277	Abnormal upper limb bone morphology
HPO	HP:0001369	3	159	9606	9606.ENSP00000219070,9606.ENSP00000225964,9606.ENSP00000385834	MMP2,COL1A1,TF	1.86e-05	0.0284	Arthritis
HPO	HP:0000520	3	215	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964	MMP2,TGFB1,COL1A1	4.52e-05	0.0296	Proptosis
HPO	HP:0000944	3	204	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000361405	MMP2,TGFB1,MMP9	3.88e-05	0.0296	Abnormal metaphysis morphology
HPO	HP:0002818	3	174	9606	9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	TGFB1,COL1A1,MMP9	2.43e-05	0.0296	Abnormal morphology of the radius
HPO	HP:0002979	3	179	9606	9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	TGFB1,COL1A1,MMP9	2.64e-05	0.0296	Bowing of the legs
HPO	HP:0003179	2	21	9606	9606.ENSP00000219070,9606.ENSP00000225964	MMP2,COL1A1	2.73e-05	0.0296	Protrusio acetabuli
HPO	HP:0010978	5	1347	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000263341,9606.ENSP00000385834	MMP2,TGFB1,COL1A1,IL1B,TF	2.82e-05	0.0296	Abnormality of immune system physiology
HPO	HP:0011314	4	675	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	MMP2,TGFB1,COL1A1,MMP9	4.5e-05	0.0296	Abnormal long bone morphology
HPO	HP:0032153	2	22	9606	9606.ENSP00000219070,9606.ENSP00000225964	MMP2,COL1A1	2.97e-05	0.0296	Joint subluxation
HPO	HP:0040069	4	648	9606	9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	MMP2,TGFB1,COL1A1,MMP9	3.84e-05	0.0296	Abnormal lower limb bone morphology
HPO	HP:0002981	3	229	9606	9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	TGFB1,COL1A1,MMP9	5.44e-05	0.0302	Abnormality of the calf
HPO	HP:0000940	3	249	9606	9606.ENSP00000221930,9606.ENSP00000225964,9606.ENSP00000361405	TGFB1,COL1A1,MMP9	6.96e-05	0.0359	Abnormal diaphysis morphology
HPO	HP:0002035	2	34	9606	9606.ENSP00000221930,9606.ENSP00000225964	TGFB1,COL1A1	6.78e-05	0.0359	Rectal prolapse
HPO	HP:0001931	2	40	9606	9606.ENSP00000221930,9606.ENSP00000385834	TGFB1,TF	9.25e-05	0.0418	Hypochromic anemia
HPO	HP:0009763	2	41	9606	9606.ENSP00000221930,9606.ENSP00000225964	TGFB1,COL1A1	9.7e-05	0.0423	Limb pain
