category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:7	153	4798	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000216117,9606.ENSP00000221891,9606.ENSP00000221930,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000231449,9606.ENSP00000233242,9606.ENSP00000242480,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249356,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000251595,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000254250,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261233,9606.ENSP00000261652,9606.ENSP00000261890,9606.ENSP00000262177,9606.ENSP00000262187,9606.ENSP00000262345,9606.ENSP00000263080,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264335,9606.ENSP00000264690,9606.ENSP00000265970,9606.ENSP00000267569,9606.ENSP00000269216,9606.ENSP00000270142,9606.ENSP00000272233,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000280097,9606.ENSP00000282753,9606.ENSP00000283646,9606.ENSP00000284240,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291554,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302037,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000304956,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312631,9606.ENSP00000312987,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000315190,9606.ENSP00000316032,9606.ENSP00000317674,9606.ENSP00000323929,9606.ENSP00000326581,9606.ENSP00000328269,9606.ENSP00000330959,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000346839,9606.ENSP00000347197,9606.ENSP00000348278,9606.ENSP00000348708,9606.ENSP00000349860,9606.ENSP00000350425,9606.ENSP00000350928,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000354468,9606.ENSP00000354826,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000357721,9606.ENSP00000358001,9606.ENSP00000358501,9606.ENSP00000359345,9606.ENSP00000360281,9606.ENSP00000360985,9606.ENSP00000361405,9606.ENSP00000362410,9606.ENSP00000362413,9606.ENSP00000362563,9606.ENSP00000362924,9606.ENSP00000363770,9606.ENSP00000366525,9606.ENSP00000367123,9606.ENSP00000367545,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000372313,9606.ENSP00000373706,9606.ENSP00000376637,9606.ENSP00000378131,9606.ENSP00000378359,9606.ENSP00000380070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000384999,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000402257,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000415941,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000440066,9606.ENSP00000444271,9606.ENSP00000450540,9606.ENSP00000454071,9606.ENSP00000454623,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000477796,9606.ENSP00000478255,9606.ENSP00000478927,9606.ENSP00000481380,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000482027,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441	SNAI2,KRT14,SERPIND1,HMOX1,APLP1,TGFB1,CYP27B1,TPI1,IL4,APOB,EGR2,C3,KRT9,PEX1,DNAJB9,SMO,CNGB1,HBA2,KRT5,APOE,ZSWIM6,RARA,THAP1,BLK,IL1RN,RPL35,IRAK3,TNFRSF13B,RAB11A,DNAJB6,RHEB,IL12RB2,ASPA,NOX4,IL1B,BIRC3,YWHAE,KLKB1,PIK3C2A,JDP2,GATA6,SOD1,RHOB,AHSG,EGFR,NTRK2,ATM,HNMT,GRM1,RPIA,THY1,APP,CA2,CRYAA,ANKRD11,SLC39A4,KRT16,MFF,AGXT,COL3A1,MN1,F2,KRT2,INSM1,HNF4A,C1QB,CLU,ITGA3,NUP98,APOL1,A2M,PEG3,HMG20B,IL1R2,UBA1,GFI1B,FN1,C5AR1,STK39,UPF2,GFPT1,APOA4,GAD1,ELN,COL18A1,CYB5R3,CALD1,SLC30A10,CD55,SYNE1,F13B,F5,SEMA4A,S100A8,TACC2,CD58,RPL5,C8B,ARFGEF2,MMP9,MAFB,PGK1,ZBTB43,GSN,C1QC,FTL,SLC3A2,TP73,DSP,KRT6A,MSLN,DIAPH1,IGF1,CFI,ADH6,GAPDH,BCL2,CDKN1A,P4HA2,CXCR4,PIK3R5,RUNX1T1,ESR1,PRKCA,IL10,CDKN1C,C4B,SERPINA1,MS4A1,JCHAIN,C1R,SERPINA3,LDLR,ITGAX,KANK2,RPS19,GCH1,ABCB1,YAP1,CCNA2,TNFAIP3,RPS10,NR4A3,MUC1,CIITA,ZEB2,PAX6,KNG1,HBB,ALDOA,IGF1R,GCLC,FGA	1.1e-12	5.05e-09	Disease of anatomical entity
DISEASES	DOID:74	36	473	9606	9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000231449,9606.ENSP00000251595,9606.ENSP00000252242,9606.ENSP00000254066,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264690,9606.ENSP00000308541,9606.ENSP00000316032,9606.ENSP00000344782,9606.ENSP00000354468,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000359345,9606.ENSP00000362413,9606.ENSP00000362563,9606.ENSP00000372313,9606.ENSP00000381185,9606.ENSP00000386884,9606.ENSP00000402257,9606.ENSP00000412237,9606.ENSP00000415941,9606.ENSP00000450540,9606.ENSP00000470972,9606.ENSP00000481646,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497574,9606.ENSP00000498441	KRT14,SERPIND1,CYP27B1,TPI1,IL4,HBA2,KRT5,RARA,RPL35,TNFRSF13B,IL1B,BIRC3,KLKB1,F2,NUP98,GFI1B,CYB5R3,F13B,F5,RPL5,PGK1,ZBTB43,MSLN,BCL2,CXCR4,RUNX1T1,IL10,C4B,SERPINA3,RPS19,RPS10,KNG1,HBB,ALDOA,GCLC,FGA	6.03e-12	1.39e-08	Hematopoietic system disease
DISEASES	DOID:14566	57	1101	9606	9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000261652,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264335,9606.ENSP00000269216,9606.ENSP00000272233,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302037,9606.ENSP00000304956,9606.ENSP00000306245,9606.ENSP00000312631,9606.ENSP00000316032,9606.ENSP00000326581,9606.ENSP00000344782,9606.ENSP00000348708,9606.ENSP00000350425,9606.ENSP00000353344,9606.ENSP00000354826,9606.ENSP00000355893,9606.ENSP00000357721,9606.ENSP00000357917,9606.ENSP00000358001,9606.ENSP00000360281,9606.ENSP00000362410,9606.ENSP00000363377,9606.ENSP00000367545,9606.ENSP00000372313,9606.ENSP00000376436,9606.ENSP00000376637,9606.ENSP00000376786,9606.ENSP00000378359,9606.ENSP00000380070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000386884,9606.ENSP00000402257,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000448665,9606.ENSP00000450540,9606.ENSP00000478255,9606.ENSP00000478927,9606.ENSP00000481380,9606.ENSP00000481465,9606.ENSP00000482027	KRT14,SERPIND1,TGFB1,IL4,SMO,KRT5,APOE,RARA,TNFRSF13B,IL1B,BIRC3,YWHAE,GATA6,RHOB,EGFR,NTRK2,ATM,MFF,MN1,FOS,INSM1,NUP98,PEG3,GFI1B,UPF2,APOA4,ETS2,CALD1,SLC30A10,S100A8,MLLT11,TACC2,C8B,MAFB,FOXO4,TP73,MSLN,ETS1,IGF1,POU2AF1,ADH6,GAPDH,BCL2,CDKN1A,CXCR4,RUNX1T1,ESR1,PRKCA,IL10,CDKN1C,DDIT3,SERPINA3,ABCB1,YAP1,CCNA2,FAM83D,NR4A3	1.19e-11	1.53e-08	Disease of cellular proliferation
DISEASES	DOID:162	53	978	9606	9606.ENSP00000167586,9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000261652,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264335,9606.ENSP00000269216,9606.ENSP00000272233,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302037,9606.ENSP00000304956,9606.ENSP00000306245,9606.ENSP00000312631,9606.ENSP00000316032,9606.ENSP00000326581,9606.ENSP00000344782,9606.ENSP00000348708,9606.ENSP00000350425,9606.ENSP00000353344,9606.ENSP00000354826,9606.ENSP00000357721,9606.ENSP00000357917,9606.ENSP00000358001,9606.ENSP00000360281,9606.ENSP00000362410,9606.ENSP00000363377,9606.ENSP00000367545,9606.ENSP00000372313,9606.ENSP00000376436,9606.ENSP00000376786,9606.ENSP00000380070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000386884,9606.ENSP00000402257,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000448665,9606.ENSP00000450540,9606.ENSP00000478255,9606.ENSP00000478927,9606.ENSP00000481380,9606.ENSP00000481465,9606.ENSP00000482027	KRT14,TGFB1,IL4,SMO,KRT5,APOE,RARA,TNFRSF13B,IL1B,BIRC3,YWHAE,GATA6,RHOB,EGFR,NTRK2,ATM,MFF,MN1,FOS,INSM1,NUP98,PEG3,GFI1B,UPF2,APOA4,ETS2,CALD1,S100A8,MLLT11,TACC2,C8B,MAFB,FOXO4,TP73,MSLN,ETS1,POU2AF1,GAPDH,BCL2,CDKN1A,CXCR4,RUNX1T1,ESR1,PRKCA,IL10,CDKN1C,DDIT3,SERPINA3,ABCB1,YAP1,CCNA2,FAM83D,NR4A3	1.38e-11	1.53e-08	Cancer
DISEASES	DOID:4	181	6291	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000216117,9606.ENSP00000221891,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000230990,9606.ENSP00000231449,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000242480,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249356,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000251595,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000254250,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261233,9606.ENSP00000261652,9606.ENSP00000261867,9606.ENSP00000261890,9606.ENSP00000262177,9606.ENSP00000262187,9606.ENSP00000262345,9606.ENSP00000263080,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264335,9606.ENSP00000264690,9606.ENSP00000265970,9606.ENSP00000267569,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000272233,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000280097,9606.ENSP00000282753,9606.ENSP00000283646,9606.ENSP00000284240,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291554,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302037,9606.ENSP00000302456,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000304956,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312150,9606.ENSP00000312631,9606.ENSP00000312987,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000315190,9606.ENSP00000316032,9606.ENSP00000317674,9606.ENSP00000323929,9606.ENSP00000326581,9606.ENSP00000328269,9606.ENSP00000330959,9606.ENSP00000338413,9606.ENSP00000339063,9606.ENSP00000344782,9606.ENSP00000345193,9606.ENSP00000346839,9606.ENSP00000347197,9606.ENSP00000348278,9606.ENSP00000348708,9606.ENSP00000349860,9606.ENSP00000350425,9606.ENSP00000350928,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353344,9606.ENSP00000354468,9606.ENSP00000354826,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000357721,9606.ENSP00000357917,9606.ENSP00000358001,9606.ENSP00000358501,9606.ENSP00000359345,9606.ENSP00000360281,9606.ENSP00000360938,9606.ENSP00000360985,9606.ENSP00000361405,9606.ENSP00000362410,9606.ENSP00000362413,9606.ENSP00000362563,9606.ENSP00000362924,9606.ENSP00000363377,9606.ENSP00000363770,9606.ENSP00000366525,9606.ENSP00000366641,9606.ENSP00000367123,9606.ENSP00000367545,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000372313,9606.ENSP00000373706,9606.ENSP00000376330,9606.ENSP00000376436,9606.ENSP00000376637,9606.ENSP00000376786,9606.ENSP00000378131,9606.ENSP00000378359,9606.ENSP00000380070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000384999,9606.ENSP00000386884,9606.ENSP00000387654,9606.ENSP00000392812,9606.ENSP00000402257,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000415941,9606.ENSP00000416066,9606.ENSP00000425915,9606.ENSP00000430656,9606.ENSP00000433277,9606.ENSP00000440066,9606.ENSP00000441828,9606.ENSP00000444149,9606.ENSP00000444271,9606.ENSP00000445626,9606.ENSP00000448665,9606.ENSP00000450540,9606.ENSP00000454071,9606.ENSP00000454623,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000477796,9606.ENSP00000478255,9606.ENSP00000478927,9606.ENSP00000481380,9606.ENSP00000481465,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000482027,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000493728,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000496699,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441	SNAI2,KRT14,SERPIND1,HMOX1,APLP1,TGFB1,PON1,CYP27B1,TPI1,HBEGF,IL4,APOB,CAT,EGR2,C3,KRT9,PEX1,DNAJB9,SMO,CNGB1,HBA2,KRT5,APOE,ZSWIM6,RARA,THAP1,BLK,IL1RN,RPL35,IRAK3,TNFRSF13B,SLC30A4,RAB11A,DNAJB6,RHEB,IL12RB2,ASPA,NOX4,IL1B,BIRC3,YWHAE,KLKB1,PIK3C2A,JDP2,GATA6,NPC1,SOD1,RHOB,AHSG,EGFR,NTRK2,ATM,HNMT,GRM1,RPIA,THY1,APP,CA2,CRYAA,ANKRD11,SLC39A4,KRT16,MFF,KLF13,AGXT,COL3A1,MN1,FOS,F2,KRT2,TRIB1,INSM1,HNF4A,C1QB,CLU,ITGA3,NUP98,APOL1,A2M,PEG3,HMG20B,IL1R2,UBA1,EEF1A1,GFI1B,SHANK2,FN1,C5AR1,STK39,UPF2,GFPT1,APOA4,GAD1,ELN,COL18A1,ETS2,CYB5R3,CALD1,SLC30A10,CD55,SYNE1,F13B,F5,SEMA4A,S100A8,MLLT11,TACC2,CD58,RPL5,C8B,SARDH,ARFGEF2,MMP9,MAFB,PGK1,ZBTB43,GSN,FOXO4,C1QC,FTL,SLC2A5,SLC3A2,TP73,DSP,KRT6A,MSLN,DIAPH1,WIPF1,ETS1,IGF1,POU2AF1,CFI,ADH6,GAPDH,BCL2,CDKN1A,P4HA2,CXCR4,PCYOX1,PIK3R5,RUNX1T1,ESR1,PRKCA,IL10,CDKN1C,C4B,SERPINA1,SELENOP,CA1,MS4A1,JCHAIN,HPR,SLCO1C1,C1R,EGR4,DDIT3,SERPINA3,LDLR,ITGAX,KANK2,RPS19,GCH1,ABCB1,YAP1,CCNA2,FAM83D,TNFAIP3,RPS10,NR4A3,MUC1,CIITA,ZEB2,PAX6,GRB10,KNG1,HBB,ALDOA,CHAMP1,IGF1R,GCLC,FGA	1.85e-11	1.53e-08	Disease
DISEASES	DOID:9120	16	75	9606	9606.ENSP00000167586,9606.ENSP00000245907,9606.ENSP00000249356,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000284981,9606.ENSP00000315130,9606.ENSP00000323929,9606.ENSP00000339063,9606.ENSP00000346839,9606.ENSP00000350425,9606.ENSP00000362924,9606.ENSP00000416066,9606.ENSP00000450540,9606.ENSP00000494175,9606.ENSP00000498441	KRT14,C3,DNAJB9,KRT5,APOE,APP,CLU,A2M,EEF1A1,FN1,APOA4,GSN,SERPINA1,SERPINA3,HBB,FGA	9.96e-12	1.53e-08	Amyloidosis
DISEASES	DOID:0050686	41	757	9606	9606.ENSP00000167586,9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000261652,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264335,9606.ENSP00000272233,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302037,9606.ENSP00000304956,9606.ENSP00000312631,9606.ENSP00000316032,9606.ENSP00000326581,9606.ENSP00000348708,9606.ENSP00000350425,9606.ENSP00000354826,9606.ENSP00000357721,9606.ENSP00000358001,9606.ENSP00000360281,9606.ENSP00000372313,9606.ENSP00000380070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000386884,9606.ENSP00000402257,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000450540,9606.ENSP00000478255,9606.ENSP00000478927,9606.ENSP00000481380,9606.ENSP00000482027	KRT14,TGFB1,IL4,SMO,KRT5,APOE,RARA,TNFRSF13B,IL1B,BIRC3,YWHAE,RHOB,EGFR,NTRK2,ATM,MFF,MN1,INSM1,NUP98,PEG3,UPF2,APOA4,CALD1,S100A8,TACC2,C8B,MSLN,GAPDH,BCL2,CDKN1A,CXCR4,RUNX1T1,ESR1,PRKCA,IL10,CDKN1C,SERPINA3,ABCB1,YAP1,CCNA2,NR4A3	3.61e-09	2.37e-06	Organ system cancer
DISEASES	DOID:2914	38	675	9606	9606.ENSP00000167586,9606.ENSP00000228606,9606.ENSP00000231449,9606.ENSP00000245907,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254250,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000261652,9606.ENSP00000262345,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000264690,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000330959,9606.ENSP00000338413,9606.ENSP00000346839,9606.ENSP00000347197,9606.ENSP00000352798,9606.ENSP00000355893,9606.ENSP00000358501,9606.ENSP00000369129,9606.ENSP00000372313,9606.ENSP00000378131,9606.ENSP00000381185,9606.ENSP00000386884,9606.ENSP00000412237,9606.ENSP00000415941,9606.ENSP00000433277,9606.ENSP00000440066,9606.ENSP00000454623,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000493985	KRT14,CYP27B1,IL4,C3,KRT5,APOE,THAP1,BLK,IL1RN,TNFRSF13B,IL12RB2,IL1B,BIRC3,KLKB1,CA2,F2,IL1R2,UBA1,FN1,C5AR1,COL18A1,SLC30A10,CD58,DSP,MSLN,CFI,BCL2,CXCR4,IL10,C4B,MS4A1,JCHAIN,ITGAX,ABCB1,TNFAIP3,MUC1,CIITA,KNG1	5.25e-09	3.02e-06	Immune system disease
DISEASES	DOID:16	32	575	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000228606,9606.ENSP00000231449,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000264690,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000310861,9606.ENSP00000315190,9606.ENSP00000350425,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000354826,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000376637,9606.ENSP00000412237,9606.ENSP00000416066,9606.ENSP00000468002,9606.ENSP00000481570,9606.ENSP00000493985	SNAI2,KRT14,CYP27B1,IL4,C3,KRT9,SMO,KRT5,APOE,IL1RN,IL1B,KLKB1,AHSG,EGFR,ATM,SLC39A4,KRT16,KRT2,ITGA3,APOA4,ELN,COL18A1,CALD1,GSN,DSP,KRT6A,IGF1,IL10,SERPINA1,KANK2,TNFAIP3,KNG1	1.16e-07	5.95e-05	Integumentary system disease
DISEASES	DOID:37	30	518	9606	9606.ENSP00000167586,9606.ENSP00000228606,9606.ENSP00000231449,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000259206,9606.ENSP00000263341,9606.ENSP00000264690,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000310861,9606.ENSP00000315190,9606.ENSP00000350425,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000354826,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000376637,9606.ENSP00000412237,9606.ENSP00000416066,9606.ENSP00000468002,9606.ENSP00000481570,9606.ENSP00000493985	KRT14,CYP27B1,IL4,C3,KRT9,SMO,KRT5,APOE,IL1RN,IL1B,KLKB1,EGFR,ATM,SLC39A4,KRT16,KRT2,ITGA3,APOA4,ELN,COL18A1,CALD1,GSN,DSP,KRT6A,IGF1,IL10,SERPINA1,KANK2,TNFAIP3,KNG1	1.31e-07	6.03e-05	Skin disease
