category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0001871	67	1214	9606	9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262746,9606.ENSP00000264690,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000301305,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000308541,9606.ENSP00000312987,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000346839,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360985,9606.ENSP00000361043,9606.ENSP00000362413,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000373706,9606.ENSP00000376330,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000419153,9606.ENSP00000433277,9606.ENSP00000444271,9606.ENSP00000470972,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497574,9606.ENSP00000498441	KRT14,SERPIND1,HMOX1,TGFB1,TPI1,APOB,CAT,KRT9,PEX1,SMO,KRT5,APOE,RARA,BLK,IL1RN,RPL35,TNFRSF13B,PRDX1,KLKB1,GATA6,NPC1,ATM,APP,CA2,SLC39A4,BUB1,AGXT,COL3A1,F2,HNF4A,UBA1,GFI1B,FN1,CYB5R3,SLC30A10,CD55,F13B,F5,SEMA4A,RPL5,ARFGEF2,RAD54L,PGK1,GSN,DSP,DIAPH1,WIPF1,BCL2,TF,CXCR4,PIK3R5,CDKN1C,SERPINA1,ZBTB20,MS4A1,C1R,RPS19,TNFAIP3,RPS10,MUC1,CIITA,ZEB2,KNG1,HBB,ALDOA,GCLC,FGA	7.34e-15	8.96e-11	Abnormality of blood and blood-forming tissues
HPO	HP:0002597	72	1673	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262662,9606.ENSP00000262746,9606.ENSP00000265970,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000301305,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000315190,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000346839,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360985,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000376330,9606.ENSP00000378131,9606.ENSP00000384725,9606.ENSP00000384849,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000441214,9606.ENSP00000444271,9606.ENSP00000454071,9606.ENSP00000470972,9606.ENSP00000478255,9606.ENSP00000481646,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497574,9606.ENSP00000498441	SNAI2,KRT14,SERPIND1,HMOX1,TGFB1,TPI1,APOB,CAT,KRT9,PEX1,SMO,CNGB1,KRT5,APOE,RARA,IL1RN,RPL35,TNFRSF13B,CDKN2C,PRDX1,PIK3C2A,GATA6,NPC1,EGFR,ATM,APP,CA2,SLC39A4,BUB1,AGXT,COL3A1,FOS,F2,KRT2,ITGA3,UBA1,GFI1B,FN1,ELN,COL18A1,SLC30A10,CD55,F13B,F5,SEMA4A,RPL5,ARFGEF2,GSN,DSP,WIPF1,CFI,PRDM6,CDKN1A,CXCR4,PIK3R5,ESR1,CDKN1C,SERPINA1,MS4A1,USP36,C1R,LDLR,RPS19,ABCB1,RPS10,ZEB2,PAX6,KNG1,HBB,ALDOA,GCLC,FGA	6.45e-11	3.94e-07	Abnormality of the vasculature
HPO	HP:0005368	24	234	9606	9606.ENSP00000167586,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000252242,9606.ENSP00000261652,9606.ENSP00000278616,9606.ENSP00000313967,9606.ENSP00000322061,9606.ENSP00000354458,9606.ENSP00000356030,9606.ENSP00000360281,9606.ENSP00000363770,9606.ENSP00000376330,9606.ENSP00000378131,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000415941,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000497574	KRT14,HMOX1,TGFB1,C3,KRT9,KRT5,TNFRSF13B,ATM,C1QB,C7,C8A,CD55,C8B,C1QC,WIPF1,CFI,CXCR4,PIK3R5,C4B,SERPINA1,MS4A1,CIITA,ZEB2,GCLC	9.55e-11	3.94e-07	Abnormality of humoral immunity
HPO	HP:0000951	77	1888	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000221930,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262746,9606.ENSP00000263341,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000270879,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312987,9606.ENSP00000315190,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000351807,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360985,9606.ENSP00000362410,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000373706,9606.ENSP00000376330,9606.ENSP00000376637,9606.ENSP00000378131,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000444271,9606.ENSP00000454071,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000485010,9606.ENSP00000492024,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441	SNAI2,KRT14,TGFB1,CYP27B1,TPI1,APOB,CAT,KRT9,PEX1,SMO,CNGB1,KRT5,APOE,ZSWIM6,RARA,IL1RN,RPL35,TNFRSF13B,PRDX1,IL1B,GATA6,NPC1,SOD1,FCN3,AHSG,EGFR,NTRK2,ATM,ANKRD11,SLC39A4,KRT16,BUB1,AGXT,COL3A1,FOS,F2,KRT2,HNF4A,ITGA3,UBA1,GFI1B,ELN,CYB5R3,SLC30A10,SYNE1,F13B,F5,SEMA4A,RPL5,ARFGEF2,MAFB,GSN,DSP,KRT6A,DIAPH1,WIPF1,IGF1,CFI,CXCR4,PIK3R5,ESR1,CDKN1C,SERPINA1,MS4A1,C1R,LDLR,KANK2,RPS19,TNFAIP3,RPS10,CIITA,PAX6,HBB,ALDOA,IGF1R,GCLC,FGA	1.4e-10	4.28e-07	Abnormality of the skin
HPO	HP:0001939	84	2168	9606	9606.ENSP00000167586,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000242480,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000248933,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000254066,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262177,9606.ENSP00000262746,9606.ENSP00000263080,9606.ENSP00000265970,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000278616,9606.ENSP00000283646,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000301305,9606.ENSP00000302037,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312987,9606.ENSP00000315190,9606.ENSP00000338413,9606.ENSP00000346839,9606.ENSP00000349860,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356224,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360938,9606.ENSP00000362410,9606.ENSP00000362413,9606.ENSP00000362924,9606.ENSP00000366525,9606.ENSP00000369129,9606.ENSP00000376330,9606.ENSP00000376637,9606.ENSP00000385834,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000400341,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000419153,9606.ENSP00000433277,9606.ENSP00000454071,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000477796,9606.ENSP00000478927,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441	KRT14,HMOX1,TGFB1,PON1,CYP27B1,APOB,CAT,EGR2,KRT9,PEX1,SEZ6L,SMO,CNGB1,KRT5,APOE,RARA,BLK,IL1RN,RPL35,TNFRSF13B,DNAJB6,PRDX1,ASPA,PIK3C2A,GATA6,NPC1,SOD1,ATM,RPIA,APP,CA2,SLC39A4,MFF,BUB1,AGXT,COL3A1,FOS,F2,KRT2,HNF4A,ITGA3,UBA1,FN1,GFPT1,SLC30A10,CD55,SYNE1,F5,SEMA4A,RPL5,SARDH,MAFB,PGK1,GSN,FTL,DSP,WIPF1,IGF1,TF,CXCR4,PIK3R5,FOXA2,ESR1,CDKN1C,SERPINA1,ZBTB20,MS4A1,LDLR,KANK2,RPS19,GCH1,YAP1,TNFAIP3,RPS10,MUC1,CIITA,ZEB2,PAX6,KNG1,HBB,ALDOA,IGF1R,GCLC,FGA	1.94e-10	4.72e-07	Abnormality of metabolism/homeostasis
HPO	HP:0001574	86	2266	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000221930,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262746,9606.ENSP00000263341,9606.ENSP00000265970,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000270879,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000304956,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312987,9606.ENSP00000315190,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000350928,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360985,9606.ENSP00000362410,9606.ENSP00000362924,9606.ENSP00000366525,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000373706,9606.ENSP00000376330,9606.ENSP00000376637,9606.ENSP00000378131,9606.ENSP00000381185,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000400341,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000419153,9606.ENSP00000433277,9606.ENSP00000444271,9606.ENSP00000454071,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441	SNAI2,KRT14,TGFB1,CYP27B1,TPI1,APOB,CAT,KRT9,PEX1,SMO,CNGB1,KRT5,APOE,ZSWIM6,RARA,IL1RN,RPL35,TNFRSF13B,PRDX1,IL1B,PIK3C2A,GATA6,NPC1,SOD1,FCN3,AHSG,EGFR,NTRK2,ATM,ANKRD11,SLC39A4,KRT16,BUB1,AGXT,COL3A1,MN1,FOS,F2,KRT2,HNF4A,ITGA3,UBA1,GFI1B,GAD1,ELN,COL18A1,CYB5R3,SLC30A10,SYNE1,F13B,F5,SEMA4A,RPL5,ARFGEF2,MAFB,GSN,FTL,DSP,KRT6A,DIAPH1,WIPF1,IGF1,CFI,BCL2,CXCR4,PIK3R5,FOXA2,ESR1,CDKN1C,SERPINA1,ZBTB20,MS4A1,C1R,LDLR,KANK2,RPS19,TNFAIP3,RPS10,CIITA,ZEB2,PAX6,HBB,ALDOA,IGF1R,GCLC,FGA	3.01e-10	6.12e-07	Abnormality of the integument
HPO	HP:0001877	36	554	9606	9606.ENSP00000167586,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000252242,9606.ENSP00000254066,9606.ENSP00000259089,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262746,9606.ENSP00000285379,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000308541,9606.ENSP00000312987,9606.ENSP00000338413,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000359345,9606.ENSP00000362413,9606.ENSP00000376330,9606.ENSP00000385834,9606.ENSP00000413720,9606.ENSP00000419153,9606.ENSP00000433277,9606.ENSP00000470972,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497574	KRT14,HMOX1,TGFB1,TPI1,APOB,CAT,KRT5,RARA,BLK,RPL35,TNFRSF13B,PRDX1,CA2,AGXT,COL3A1,F2,HNF4A,UBA1,CYB5R3,SLC30A10,CD55,RPL5,PGK1,WIPF1,TF,CDKN1C,ZBTB20,MS4A1,RPS19,TNFAIP3,RPS10,MUC1,CIITA,HBB,ALDOA,GCLC	3.8e-10	6.62e-07	Abnormal erythrocyte morphology
HPO	HP:0011121	69	1648	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000221930,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000262746,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312987,9606.ENSP00000315190,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000351807,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000360985,9606.ENSP00000362410,9606.ENSP00000362924,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000376330,9606.ENSP00000376637,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000444271,9606.ENSP00000454071,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000481646,9606.ENSP00000492024,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000497069,9606.ENSP00000497574	SNAI2,KRT14,TGFB1,TPI1,APOB,CAT,KRT9,PEX1,SMO,CNGB1,KRT5,APOE,ZSWIM6,RARA,IL1RN,RPL35,TNFRSF13B,PRDX1,GATA6,NPC1,SOD1,AHSG,EGFR,NTRK2,ATM,ANKRD11,SLC39A4,KRT16,BUB1,AGXT,COL3A1,FOS,F2,KRT2,HNF4A,ITGA3,UBA1,GFI1B,ELN,CYB5R3,SLC30A10,SYNE1,F13B,F5,SEMA4A,RPL5,ARFGEF2,MAFB,GSN,DSP,KRT6A,WIPF1,IGF1,CXCR4,PIK3R5,ESR1,CDKN1C,SERPINA1,MS4A1,C1R,LDLR,KANK2,RPS19,RPS10,PAX6,HBB,ALDOA,IGF1R,GCLC	5.5e-10	8.38e-07	Abnormality of skin morphology
HPO	HP:0000118	150	5129	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000215727,9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000229270,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000242480,9606.ENSP00000245907,9606.ENSP00000246662,9606.ENSP00000248633,9606.ENSP00000248933,9606.ENSP00000249373,9606.ENSP00000251102,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000254250,9606.ENSP00000259089,9606.ENSP00000259206,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000261890,9606.ENSP00000262177,9606.ENSP00000262662,9606.ENSP00000262746,9606.ENSP00000263080,9606.ENSP00000263341,9606.ENSP00000264690,9606.ENSP00000265970,9606.ENSP00000269216,9606.ENSP00000269228,9606.ENSP00000270142,9606.ENSP00000270879,9606.ENSP00000273784,9606.ENSP00000275493,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000280097,9606.ENSP00000282753,9606.ENSP00000283646,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291554,9606.ENSP00000301030,9606.ENSP00000301305,9606.ENSP00000301653,9606.ENSP00000302037,9606.ENSP00000302530,9606.ENSP00000302620,9606.ENSP00000304408,9606.ENSP00000304956,9606.ENSP00000306245,9606.ENSP00000308541,9606.ENSP00000310861,9606.ENSP00000312987,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000315190,9606.ENSP00000316338,9606.ENSP00000322061,9606.ENSP00000329797,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000346839,9606.ENSP00000349860,9606.ENSP00000350928,9606.ENSP00000351807,9606.ENSP00000352798,9606.ENSP00000353401,9606.ENSP00000354458,9606.ENSP00000354468,9606.ENSP00000355893,9606.ENSP00000356030,9606.ENSP00000356224,9606.ENSP00000356382,9606.ENSP00000356771,9606.ENSP00000357265,9606.ENSP00000358001,9606.ENSP00000359345,9606.ENSP00000360281,9606.ENSP00000360938,9606.ENSP00000360985,9606.ENSP00000361043,9606.ENSP00000361405,9606.ENSP00000362410,9606.ENSP00000362413,9606.ENSP00000362924,9606.ENSP00000363770,9606.ENSP00000364449,9606.ENSP00000366525,9606.ENSP00000367545,9606.ENSP00000369129,9606.ENSP00000369317,9606.ENSP00000373706,9606.ENSP00000376330,9606.ENSP00000376436,9606.ENSP00000376637,9606.ENSP00000378131,9606.ENSP00000381185,9606.ENSP00000381549,9606.ENSP00000384477,9606.ENSP00000384725,9606.ENSP00000384849,9606.ENSP00000384899,9606.ENSP00000384999,9606.ENSP00000385834,9606.ENSP00000386884,9606.ENSP00000392812,9606.ENSP00000400341,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000415769,9606.ENSP00000415941,9606.ENSP00000416066,9606.ENSP00000419153,9606.ENSP00000429900,9606.ENSP00000433277,9606.ENSP00000433919,9606.ENSP00000441214,9606.ENSP00000444271,9606.ENSP00000454071,9606.ENSP00000461947,9606.ENSP00000468002,9606.ENSP00000470972,9606.ENSP00000477796,9606.ENSP00000478255,9606.ENSP00000478305,9606.ENSP00000478927,9606.ENSP00000481570,9606.ENSP00000481646,9606.ENSP00000482027,9606.ENSP00000484824,9606.ENSP00000485010,9606.ENSP00000487174,9606.ENSP00000492024,9606.ENSP00000493985,9606.ENSP00000494175,9606.ENSP00000496166,9606.ENSP00000496699,9606.ENSP00000497069,9606.ENSP00000497574,9606.ENSP00000498441,9606.ENSP00000498476	SNAI2,KRT14,SERPIND1,HMOX1,TGFB1,PON1,CYP27B1,TPI1,APOB,CAT,EGR2,C3,KRT9,PEX1,SEZ6L,SMO,CNGB1,KRT5,APOE,ZSWIM6,RARA,THAP1,BLK,IL1RN,RPL35,TNFRSF13B,RAB11A,DNAJB6,CDKN2C,PRDX1,ASPA,IL1B,KLKB1,PIK3C2A,GATA6,NPC1,SOD1,FCN3,AHSG,EGFR,NTRK2,ATM,HNMT,GRM1,RPIA,APP,CA2,CRYAA,ANKRD11,SLC39A4,KRT16,MFF,BUB1,AGXT,COL3A1,MN1,FOS,F2,KRT2,HNF4A,C1QB,CLU,ITGA3,BAIAP2,C7,CADM1,UBA1,GFI1B,FN1,GFPT1,GAD1,ELN,COL18A1,CUX1,C8A,CYB5R3,SLC30A10,CD55,SYNE1,F13B,F5,SEMA4A,TACC2,RPL5,C8B,SARDH,ARFGEF2,RAD54L,MMP9,MAFB,PGK1,GSN,C1QC,SIK3,FTL,TP73,DSP,KRT6A,DIAPH1,WIPF1,ETS1,IGF1,CFI,BCL2,FRMD4B,IFRD1,PRDM6,CDKN1A,GATAD2A,P4HA2,TF,CXCR4,PIK3R5,FOXA2,ESR1,PRKCA,IL10,CDKN1C,ITIH3,C4B,SERPINA1,ZBTB20,ASAP1,MS4A1,CLNS1A,USP36,C1R,LDLR,CD226,KANK2,RPS19,GCH1,ABCB1,SMOX,YAP1,TNFAIP3,RPS10,NR4A3,MUC1,CIITA,ZEB2,PAX6,KNG1,HBB,ALDOA,CHAMP1,IGF1R,GCLC,FGA,MAP1LC3B	1.6e-09	2.17e-06	Phenotypic abnormality
HPO	HP:0002664	41	763	9606	9606.ENSP00000020945,9606.ENSP00000167586,9606.ENSP00000241052,9606.ENSP00000246662,9606.ENSP00000249373,9606.ENSP00000252242,9606.ENSP00000252486,9606.ENSP00000252744,9606.ENSP00000254066,9606.ENSP00000259089,9606.ENSP00000259469,9606.ENSP00000261652,9606.ENSP00000270879,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000301653,9606.ENSP00000302530,9606.ENSP00000304956,9606.ENSP00000308541,9606.ENSP00000312987,9606.ENSP00000338413,9606.ENSP00000344782,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000356382,9606.ENSP00000357265,9606.ENSP00000359345,9606.ENSP00000361043,9606.ENSP00000367545,9606.ENSP00000369317,9606.ENSP00000376330,9606.ENSP00000381185,9606.ENSP00000386884,9606.ENSP00000405330,9606.ENSP00000413720,9606.ENSP00000416066,9606.ENSP00000433277,9606.ENSP00000470972,9606.ENSP00000481646,9606.ENSP00000482027,9606.ENSP00000494175	SNAI2,KRT14,CAT,KRT9,SMO,KRT5,APOE,ZSWIM6,RARA,BLK,RPL35,TNFRSF13B,FCN3,EGFR,ATM,KRT16,BUB1,MN1,F2,HNF4A,UBA1,GFI1B,FN1,COL18A1,F13B,SEMA4A,RPL5,RAD54L,TP73,KRT6A,WIPF1,BCL2,CXCR4,ESR1,CDKN1C,SERPINA1,MS4A1,RPS19,RPS10,NR4A3,HBB	4.47e-09	5.46e-06	Neoplasm
