ChemicalName	n_input_genes	n_mapped_string_ids	has_HPO	has_DISEASES
Aluminum	21	20	True	True
Antimony	25	25	False	False
Arsenic	1332	1324	True	True
Barium	14	14	False	False
Boron	2	2	False	False
Cadmium	906	888	True	True
Calcium	55	55	True	True
Cerium	3	3	False	False
Chromium	40	39	True	False
Cobalt	60	59	True	True
Copper	599	590	True	True
Erbium	1	1	False	False
Gadolinium	7	7	False	True
Holmium	1	1	False	False
Iron	66	66	True	True
Lanthanum	2	2	False	False
Lead	637	632	True	True
Lithium	16	16	True	True
Magnesium	12	12	False	False
Manganese	481	480	True	True
Mercury	112	110	True	True
Molybdenum	1	1	False	False
Neodymium	1	1	False	False
Nickel	876	860	True	True
Nitrogen	3	3	False	False
Phosphorus	25	25	False	True
Potassium	11	11	False	True
Rubidium	1	1	False	False
Scandium	1	1	False	False
Silicon	3	3	False	False
Sodium	7	7	False	False
Strontium	1	1	False	False
Sulfur	1	1	False	False
Titanium	7	7	True	True
Uranium	61	60	False	False
Ytterbium	2	2	False	False
Yttrium	1	1	False	False
Zinc	380	371	True	True
