category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:4	68	6291	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000222381,9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000262160,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000265709,9606.ENSP00000266718,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000291554,9606.ENSP00000299697,9606.ENSP00000311469,9606.ENSP00000320509,9606.ENSP00000322020,9606.ENSP00000323929,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000340278,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000348215,9606.ENSP00000349016,9606.ENSP00000353344,9606.ENSP00000354573,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000366898,9606.ENSP00000367123,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000379287,9606.ENSP00000381448,9606.ENSP00000386165,9606.ENSP00000392423,9606.ENSP00000407552,9606.ENSP00000414303,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000425915,9606.ENSP00000430656,9606.ENSP00000436423,9606.ENSP00000438804,9606.ENSP00000450540,9606.ENSP00000463653,9606.ENSP00000468253,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,STUB1,PON1,MPO,CYP27B1,C3,APOE,PXDN,SMAD2,NOX4,IL1B,BIRC3,ANK1,LUM,AHSG,APP,CA2,CALM3,CRYAA,TK2,GSTM1,BANK1,SLC25A22,A2M,LIPA,HLA-DQA1,PARK7,SOX18,FN1,SH3PXD2A,PEX14,ETS2,MACF1,F5,FCGR3A,NDUFS2,MAN1B1,MMP9,GSN,HIF3A,SLC3A2,JAK2,IGF1,G6PD,YWHAZ,CST3,CEBPD,RELN,GAS7,BDNF,VWA1,MME,SH3BP2,SELENOP,CA1,GNLY,HNF1A,SERPINA3,RBFOX3,CFD,ABCB1,TNFAIP3,DCX,PAX6,GCLC,B2M,FECH	1.35e-10	6.23e-07	Disease
DISEASES	DOID:7	58	4798	9606	9606.ENSP00000216117,9606.ENSP00000219070,9606.ENSP00000219548,9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000262160,9606.ENSP00000263317,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000265709,9606.ENSP00000266718,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000285379,9606.ENSP00000291295,9606.ENSP00000291554,9606.ENSP00000299697,9606.ENSP00000311469,9606.ENSP00000320509,9606.ENSP00000322020,9606.ENSP00000323929,9606.ENSP00000339398,9606.ENSP00000340278,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000348215,9606.ENSP00000354573,9606.ENSP00000356771,9606.ENSP00000356946,9606.ENSP00000361405,9606.ENSP00000362924,9606.ENSP00000367123,9606.ENSP00000371067,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000379287,9606.ENSP00000381448,9606.ENSP00000392423,9606.ENSP00000407552,9606.ENSP00000414303,9606.ENSP00000417185,9606.ENSP00000418525,9606.ENSP00000424846,9606.ENSP00000436423,9606.ENSP00000438804,9606.ENSP00000450540,9606.ENSP00000463653,9606.ENSP00000468253,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000490614,9606.ENSP00000492024,9606.ENSP00000497574,9606.ENSP00000497910,9606.ENSP00000498358	HMOX1,MMP2,STUB1,MPO,CYP27B1,C3,APOE,PXDN,SMAD2,NOX4,IL1B,BIRC3,ANK1,LUM,AHSG,APP,CA2,CALM3,CRYAA,TK2,GSTM1,BANK1,SLC25A22,A2M,HLA-DQA1,PARK7,SOX18,FN1,SH3PXD2A,MACF1,F5,FCGR3A,MMP9,GSN,SLC3A2,JAK2,IGF1,G6PD,YWHAZ,CST3,RELN,GAS7,BDNF,VWA1,MME,SH3BP2,GNLY,HNF1A,SERPINA3,RBFOX3,CFD,ABCB1,TNFAIP3,DCX,PAX6,GCLC,B2M,FECH	1.76e-10	6.23e-07	Disease of anatomical entity
DISEASES	DOID:9120	9	75	9606	9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000284981,9606.ENSP00000323929,9606.ENSP00000346839,9606.ENSP00000362924,9606.ENSP00000381448,9606.ENSP00000450540,9606.ENSP00000497910	C3,APOE,APP,A2M,FN1,GSN,CST3,SERPINA3,B2M	9.37e-10	1.44e-06	Amyloidosis
DISEASES	DOID:0014667	24	1076	9606	9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000273784,9606.ENSP00000284981,9606.ENSP00000299697,9606.ENSP00000323929,9606.ENSP00000337354,9606.ENSP00000339398,9606.ENSP00000346839,9606.ENSP00000349016,9606.ENSP00000356972,9606.ENSP00000360645,9606.ENSP00000362924,9606.ENSP00000367123,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000425915,9606.ENSP00000438804,9606.ENSP00000450540,9606.ENSP00000478255,9606.ENSP00000497910,9606.ENSP00000498358	C3,APOE,IL1B,AHSG,APP,TK2,A2M,LIPA,HLA-DQA1,FN1,PEX14,NDUFS2,MAN1B1,GSN,SLC3A2,IGF1,G6PD,CST3,SELENOP,HNF1A,SERPINA3,ABCB1,B2M,FECH	6.18e-09	7.09e-06	Disease of metabolism
DISEASES	DOID:2914	19	675	9606	9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000252804,9606.ENSP00000263341,9606.ENSP00000263464,9606.ENSP00000285379,9606.ENSP00000320509,9606.ENSP00000339398,9606.ENSP00000341815,9606.ENSP00000346839,9606.ENSP00000356946,9606.ENSP00000371067,9606.ENSP00000418525,9606.ENSP00000438804,9606.ENSP00000478255,9606.ENSP00000481570,9606.ENSP00000497910	MPO,CYP27B1,C3,APOE,PXDN,IL1B,BIRC3,CA2,BANK1,HLA-DQA1,SOX18,FN1,FCGR3A,JAK2,MME,HNF1A,ABCB1,TNFAIP3,B2M	8.45e-09	7.77e-06	Immune system disease
DISEASES	DOID:16	17	575	9606	9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000273784,9606.ENSP00000311469,9606.ENSP00000339398,9606.ENSP00000341815,9606.ENSP00000362924,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000424846,9606.ENSP00000436423,9606.ENSP00000481570,9606.ENSP00000498358	MPO,CYP27B1,C3,APOE,IL1B,AHSG,GSTM1,HLA-DQA1,SOX18,GSN,IGF1,G6PD,CST3,SH3BP2,GNLY,TNFAIP3,FECH	2.82e-08	2.16e-05	Integumentary system disease
DISEASES	DOID:0070028	4	5	9606	9606.ENSP00000252486,9606.ENSP00000284981,9606.ENSP00000381448,9606.ENSP00000450540	APOE,APP,CST3,SERPINA3	1.11e-07	7.29e-05	APP-related cerebral amyloid angiopathy
DISEASES	DOID:10652	6	41	9606	9606.ENSP00000252486,9606.ENSP00000284981,9606.ENSP00000323929,9606.ENSP00000381448,9606.ENSP00000414303,9606.ENSP00000450540	APOE,APP,A2M,CST3,BDNF,SERPINA3	2.28e-07	0.00013	Alzheimers disease
DISEASES	DOID:37	15	518	9606	9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000245907,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000311469,9606.ENSP00000339398,9606.ENSP00000362924,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381448,9606.ENSP00000424846,9606.ENSP00000436423,9606.ENSP00000481570,9606.ENSP00000498358	MPO,CYP27B1,C3,APOE,IL1B,GSTM1,HLA-DQA1,GSN,IGF1,G6PD,CST3,SH3BP2,GNLY,TNFAIP3,FECH	2.58e-07	0.00013	Skin disease
DISEASES	DOID:417	12	317	9606	9606.ENSP00000225275,9606.ENSP00000228606,9606.ENSP00000252804,9606.ENSP00000263341,9606.ENSP00000285379,9606.ENSP00000320509,9606.ENSP00000339398,9606.ENSP00000356946,9606.ENSP00000371067,9606.ENSP00000438804,9606.ENSP00000478255,9606.ENSP00000481570	MPO,CYP27B1,PXDN,IL1B,CA2,BANK1,HLA-DQA1,FCGR3A,JAK2,HNF1A,ABCB1,TNFAIP3	2.96e-07	0.00013	Autoimmune disease
