category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:2914	14	675	9606	9606.ENSP00000215754,9606.ENSP00000231449,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000366307,9606.ENSP00000381185,9606.ENSP00000398890,9606.ENSP00000441235,9606.ENSP00000478255,9606.ENSP00000481570	MIF,IL4,APOE,IL1B,CA2,F2,FN1,COL18A1,THBD,BCL2,HLA-DMB,TSHR,ABCB1,TNFAIP3	1.07e-08	4.93e-05	Immune system disease
DISEASES	DOID:417	10	317	9606	9606.ENSP00000215754,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000352798,9606.ENSP00000398890,9606.ENSP00000441235,9606.ENSP00000478255,9606.ENSP00000481570	MIF,IL4,IL1B,CA2,F2,COL18A1,HLA-DMB,TSHR,ABCB1,TNFAIP3	4.12e-08	9.46e-05	Autoimmune disease
DISEASES	DOID:612	11	470	9606	9606.ENSP00000215754,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000352798,9606.ENSP00000366307,9606.ENSP00000398890,9606.ENSP00000441235,9606.ENSP00000478255,9606.ENSP00000481570	MIF,IL4,IL1B,CA2,F2,COL18A1,THBD,HLA-DMB,TSHR,ABCB1,TNFAIP3	1.55e-07	0.00024	Primary immunodeficiency disease
DISEASES	DOID:0060039	6	97	9606	9606.ENSP00000215754,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000352798,9606.ENSP00000398890,9606.ENSP00000481570	MIF,IL4,IL1B,COL18A1,HLA-DMB,TNFAIP3	6.24e-07	0.00072	Autoimmune disease of skin and connective tissue
DISEASES	DOID:178	8	249	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000361405,9606.ENSP00000366307,9606.ENSP00000381185	HMOX1,TGFB1,APOE,IL1B,F2,MMP9,THBD,BCL2	9.19e-07	0.00084	Vascular disease
DISEASES	DOID:850	7	178	9606	9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000259915,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000352798	TGFB1,IL4,POU5F1,IL1B,F2,MET,COL18A1	1.27e-06	0.00098	Lung disease
DISEASES	DOID:0080001	10	540	9606	9606.ENSP00000215754,9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000282903,9606.ENSP00000285379,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000405330,9606.ENSP00000481570	MIF,TGFB1,IL4,IL1B,PLOD2,CA2,COL18A1,MMP9,ESR1,TNFAIP3	4.75e-06	0.0029	Bone disease
DISEASES	DOID:5295	7	216	9606	9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000478255	TGFB1,IL4,IL1B,MMP9,BCL2,CDKN1A,ABCB1	4.4e-06	0.0029	Intestinal disease
DISEASES	DOID:77	10	576	9606	9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000405330,9606.ENSP00000478255	TGFB1,IL4,IL1B,F2,MET,MMP9,BCL2,CDKN1A,ESR1,ABCB1	8.28e-06	0.0038	Gastrointestinal system disease
DISEASES	DOID:18	8	350	9606	9606.ENSP00000221930,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000366307,9606.ENSP00000384849	TGFB1,CA2,F2,MET,FN1,COL18A1,THBD,CDKN1A	1.06e-05	0.0044	Urinary system disease
DISEASES	DOID:6713	4	46	9606	9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000381185	APOE,IL1B,F2,BCL2	1.49e-05	0.0057	Cerebrovascular disease
DISEASES	DOID:986	4	47	9606	9606.ENSP00000215754,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000398890	MIF,IL4,IL1B,HLA-DMB	1.61e-05	0.0057	Alopecia areata
DISEASES	DOID:65	11	774	9606	9606.ENSP00000215754,9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000282903,9606.ENSP00000285379,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000398890,9606.ENSP00000405330,9606.ENSP00000481570	MIF,TGFB1,IL4,IL1B,PLOD2,CA2,COL18A1,MMP9,HLA-DMB,ESR1,TNFAIP3	1.78e-05	0.0058	Connective tissue disease
DISEASES	DOID:557	7	275	9606	9606.ENSP00000221930,9606.ENSP00000285379,9606.ENSP00000308541,9606.ENSP00000317272,9606.ENSP00000346839,9606.ENSP00000352798,9606.ENSP00000366307	TGFB1,CA2,F2,MET,FN1,COL18A1,THBD	2.03e-05	0.0062	Kidney disease
DISEASES	DOID:0050828	5	130	9606	9606.ENSP00000221930,9606.ENSP00000252486,9606.ENSP00000263341,9606.ENSP00000308541,9606.ENSP00000361405	TGFB1,APOE,IL1B,F2,MMP9	5.15e-05	0.0125	Artery disease
DISEASES	DOID:10325	2	2	9606	9606.ENSP00000221930,9606.ENSP00000263341	TGFB1,IL1B	5.24e-05	0.0125	Silicosis
DISEASES	DOID:2452	3	21	9606	9606.ENSP00000308541,9606.ENSP00000366307,9606.ENSP00000377783	F2,THBD,PROS1	4.9e-05	0.0125	Thrombophilia
DISEASES	DOID:0050686	10	757	9606	9606.ENSP00000221930,9606.ENSP00000231449,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000263341,9606.ENSP00000317272,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000405330,9606.ENSP00000478255	TGFB1,IL4,APOE,POU5F1,IL1B,MET,BCL2,CDKN1A,ESR1,ABCB1	8.21e-05	0.018	Organ system cancer
