category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0000118	31	5129	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000241052,9606.ENSP00000259455,9606.ENSP00000261733,9606.ENSP00000263341,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000324890,9606.ENSP00000340913,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000356545,9606.ENSP00000362125,9606.ENSP00000367545,9606.ENSP00000384763,9606.ENSP00000386884,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000431984,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000482457,9606.ENSP00000493985,9606.ENSP00000499717	HMOX1,TGFB1,PON1,CYP27B1,CAT,GABBR2,ALDH2,IL1B,CACNA1C,SOD1,KCNMA1,F2,MMP1,CD28,TRPC6,COL18A1,MYLK,CACNA1E,PCDH19,TP73,SLC8A1,CXCR4,BDNF,ADCY5,CASR,CAPN1,ABCB1,CYP1B1,PLCG2,KNG1,CALM1	1.91e-06	0.0126	Phenotypic abnormality
HPO	HP:0012531	10	539	9606	9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000241052,9606.ENSP00000270142,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000353452,9606.ENSP00000420194,9606.ENSP00000482457	TGFB1,PON1,CYP27B1,CAT,SOD1,F2,MMP1,MYLK,CASR,PLCG2	2.41e-06	0.0126	Pain
HPO	HP:0025142	13	906	9606	9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000241052,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000353452,9606.ENSP00000420194,9606.ENSP00000431984,9606.ENSP00000482457,9606.ENSP00000499717	TGFB1,PON1,CYP27B1,CAT,CACNA1C,SOD1,F2,MMP1,MYLK,CASR,CAPN1,PLCG2,CALM1	1.03e-06	0.0126	Constitutional symptom
HPO	HP:0000707	24	3471	9606	9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000228606,9606.ENSP00000241052,9606.ENSP00000259455,9606.ENSP00000261733,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000356545,9606.ENSP00000362125,9606.ENSP00000386884,9606.ENSP00000414303,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000431984,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000493985,9606.ENSP00000499717	TGFB1,PON1,CYP27B1,CAT,GABBR2,ALDH2,CACNA1C,SOD1,KCNMA1,F2,MMP1,COL18A1,MYLK,CACNA1E,PCDH19,CXCR4,BDNF,ADCY5,CASR,CAPN1,ABCB1,CYP1B1,KNG1,CALM1	6.88e-06	0.0146	Abnormality of the nervous system
HPO	HP:0001626	20	2438	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000261733,9606.ENSP00000266376,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000340913,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000356545,9606.ENSP00000386884,9606.ENSP00000419361,9606.ENSP00000420194,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000482457,9606.ENSP00000493985,9606.ENSP00000499717	HMOX1,TGFB1,CAT,ALDH2,CACNA1C,KCNMA1,F2,MMP1,TRPC6,COL18A1,MYLK,CACNA1E,CXCR4,ADCY5,CASR,ABCB1,CYP1B1,PLCG2,KNG1,CALM1	4.78e-06	0.0146	Abnormality of the cardiovascular system
HPO	HP:0002140	6	156	9606	9606.ENSP00000261733,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000478561,9606.ENSP00000493985	ALDH2,KCNMA1,F2,MYLK,CYP1B1,KNG1	5.77e-06	0.0146	Ischemic stroke
HPO	HP:0002597	16	1673	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000261733,9606.ENSP00000266376,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000322788,9606.ENSP00000352798,9606.ENSP00000353452,9606.ENSP00000386884,9606.ENSP00000420194,9606.ENSP00000478255,9606.ENSP00000478561,9606.ENSP00000482457,9606.ENSP00000493985	HMOX1,TGFB1,CAT,ALDH2,CACNA1C,KCNMA1,F2,MMP1,COL18A1,MYLK,CXCR4,CASR,ABCB1,CYP1B1,PLCG2,KNG1	9.05e-06	0.0146	Abnormality of the vasculature
HPO	HP:0012252	13	1067	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000241052,9606.ENSP00000266376,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000367545,9606.ENSP00000386884,9606.ENSP00000420194,9606.ENSP00000482457	HMOX1,TGFB1,PON1,CAT,CACNA1C,SOD1,KCNMA1,F2,MYLK,TP73,CXCR4,CASR,PLCG2	6.15e-06	0.0146	Abnormal respiratory system morphology
HPO	HP:0025722	6	156	9606	9606.ENSP00000261733,9606.ENSP00000286628,9606.ENSP00000308541,9606.ENSP00000353452,9606.ENSP00000478561,9606.ENSP00000493985	ALDH2,KCNMA1,F2,MYLK,CYP1B1,KNG1	5.77e-06	0.0146	Cerebral infarct
HPO	HP:0002087	8	398	9606	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000222381,9606.ENSP00000241052,9606.ENSP00000270142,9606.ENSP00000286628,9606.ENSP00000386884,9606.ENSP00000420194	HMOX1,TGFB1,PON1,CAT,SOD1,KCNMA1,CXCR4,CASR	1.55e-05	0.019	Abnormality of the upper respiratory tract
