category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:178	6	249	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000416293	TGFB1,MPO,APOB,MMP9,BCL2,SLC2A1	1.47e-07	0.00067	Vascular disease
DISEASES	DOID:5295	5	216	9606	9606.ENSP00000221930,9606.ENSP00000287842,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000500990	TGFB1,NRG1,MMP9,BCL2,SNCA	2.28e-06	0.0052	Intestinal disease
DISEASES	DOID:4776	2	3	9606	9606.ENSP00000225275,9606.ENSP00000352798	MPO,COL18A1	9.76e-06	0.0112	Rapidly progressive glomerulonephritis
DISEASES	DOID:7	14	4798	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000226193,9606.ENSP00000233242,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,MPO,RCVRN,APOB,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,ESR1,SLC2A1,SNCA	2.17e-05	0.0134	Disease of anatomical entity
DISEASES	DOID:77	6	576	9606	9606.ENSP00000221930,9606.ENSP00000287842,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000500990	TGFB1,NRG1,MMP9,BCL2,ESR1,SNCA	1.75e-05	0.0134	Gastrointestinal system disease
DISEASES	DOID:863	10	2275	9606	9606.ENSP00000225275,9606.ENSP00000226193,9606.ENSP00000233242,9606.ENSP00000284981,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000381185,9606.ENSP00000416293,9606.ENSP00000500990	MPO,RCVRN,APOB,APP,COL18A1,MMP9,IGF1,BCL2,SLC2A1,SNCA	2.63e-05	0.0134	Nervous system disease
DISEASES	DOID:9808	2	4	9606	9606.ENSP00000225275,9606.ENSP00000352798	MPO,COL18A1	1.46e-05	0.0134	Goodpasture syndrome
DISEASES	DOID:850	4	178	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000287842,9606.ENSP00000352798	TGFB1,MPO,NRG1,COL18A1	3.03e-05	0.0139	Lung disease
DISEASES	DOID:12858	2	7	9606	9606.ENSP00000284981,9606.ENSP00000500990	APP,SNCA	3.5e-05	0.0146	Huntingtons disease
DISEASES	DOID:12217	2	9	9606	9606.ENSP00000284981,9606.ENSP00000500990	APP,SNCA	5.35e-05	0.0205	Lewy body dementia
DISEASES	DOID:3602	2	9	9606	9606.ENSP00000284981,9606.ENSP00000500990	APP,SNCA	5.35e-05	0.0205	Toxic encephalopathy
DISEASES	DOID:14566	7	1101	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000287842,9606.ENSP00000376637,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000416293	TGFB1,MPO,NRG1,IGF1,BCL2,ESR1,SLC2A1	7.04e-05	0.0231	Disease of cellular proliferation
DISEASES	DOID:9255	2	12	9606	9606.ENSP00000284981,9606.ENSP00000500990	APP,SNCA	8.83e-05	0.0254	Frontotemporal dementia
DISEASES	DOID:4	15	6291	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000226193,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,MPO,RCVRN,APOB,CAT,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,ESR1,SLC2A1,SNCA	9.76e-05	0.0264	Disease
DISEASES	DOID:649	2	16	9606	9606.ENSP00000284981,9606.ENSP00000500990	APP,SNCA	0.00015	0.0378	Prion disease
DISEASES	DOID:0080001	5	540	9606	9606.ENSP00000221930,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000405330,9606.ENSP00000416293	TGFB1,COL18A1,MMP9,ESR1,SLC2A1	0.00017	0.0389	Bone disease
DISEASES	DOID:1561	3	103	9606	9606.ENSP00000284981,9606.ENSP00000405330,9606.ENSP00000500990	APP,ESR1,SNCA	0.00016	0.0389	Cognitive disorder
