category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	EFO:0007937	11	1810	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000287842,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000500990	TGFB1,MPO,APOB,CAT,NRG1,COL18A1,MMP9,BCL2,TF,ESR1,SNCA	3.09e-07	0.0038	Blood protein measurement
HPO	HP:0000118	16	5129	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000301149,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,MPO,APOB,CAT,APP,NRG1,GPD1,COL18A1,MMP9,IGF1,G6PD,BCL2,TF,ESR1,SLC2A1,SNCA	7.15e-07	0.0039	Phenotypic abnormality
HPO	HP:0001626	12	2438	9606	9606.ENSP00000221930,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000301149,9606.ENSP00000352798,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,APOB,CAT,APP,NRG1,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1,SNCA	6.33e-07	0.0039	Abnormality of the cardiovascular system
HPO	HP:0001871	9	1214	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000416293	TGFB1,MPO,APOB,CAT,APP,G6PD,BCL2,TF,SLC2A1	1.19e-06	0.0039	Abnormality of blood and blood-forming tissues
HPO	HP:0001939	11	2168	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000301149,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293	TGFB1,MPO,APOB,CAT,APP,GPD1,IGF1,G6PD,TF,ESR1,SLC2A1	1.9e-06	0.0041	Abnormality of metabolism/homeostasis
HPO	HP:0002597	10	1673	9606	9606.ENSP00000221930,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000301149,9606.ENSP00000352798,9606.ENSP00000377192,9606.ENSP00000405330,9606.ENSP00000416293	TGFB1,APOB,CAT,APP,NRG1,GPD1,COL18A1,G6PD,ESR1,SLC2A1	1.66e-06	0.0041	Abnormality of the vasculature
HPO	HP:0001877	6	554	9606	9606.ENSP00000221930,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000416293	TGFB1,APOB,CAT,G6PD,TF,SLC2A1	1.41e-05	0.0246	Abnormal erythrocyte morphology
HPO	HP:0002715	9	1682	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000241052,9606.ENSP00000301149,9606.ENSP00000352798,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293	TGFB1,MPO,CAT,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1	1.72e-05	0.0263	Abnormality of the immune system
HPO	HP:0004447	3	48	9606	9606.ENSP00000233242,9606.ENSP00000377192,9606.ENSP00000416293	APOB,G6PD,SLC2A1	1.8e-05	0.0263	Poikilocytosis
HPO	EFO:0004747	15	5856	9606	9606.ENSP00000221930,9606.ENSP00000225275,9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000284981,9606.ENSP00000287842,9606.ENSP00000352798,9606.ENSP00000361405,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000381185,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,MPO,APOB,CAT,APP,NRG1,COL18A1,MMP9,IGF1,G6PD,BCL2,TF,ESR1,SLC2A1,SNCA	3.85e-05	0.047	Protein measurement
HPO	HP:0000651	3	67	9606	9606.ENSP00000221930,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,SLC2A1,SNCA	4.68e-05	0.047	Diplopia
HPO	HP:0002634	3	70	9606	9606.ENSP00000233242,9606.ENSP00000241052,9606.ENSP00000405330	APOB,CAT,ESR1	5.3e-05	0.047	Arteriosclerosis
HPO	HP:0011514	3	67	9606	9606.ENSP00000221930,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,SLC2A1,SNCA	4.68e-05	0.047	Abnormality of binocular vision
HPO	HP:0025031	10	2389	9606	9606.ENSP00000221930,9606.ENSP00000233242,9606.ENSP00000284981,9606.ENSP00000301149,9606.ENSP00000352798,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000405330,9606.ENSP00000416293,9606.ENSP00000500990	TGFB1,APOB,APP,GPD1,COL18A1,G6PD,TF,ESR1,SLC2A1,SNCA	4.04e-05	0.047	Abnormality of the digestive system
HPO	HP:0032180	7	1010	9606	9606.ENSP00000233242,9606.ENSP00000284981,9606.ENSP00000301149,9606.ENSP00000376637,9606.ENSP00000377192,9606.ENSP00000385834,9606.ENSP00000416293	APOB,APP,GPD1,IGF1,G6PD,TF,SLC2A1	4.07e-05	0.047	Abnormal circulating metabolite concentration
